,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,17788,2824
C4-e003Coalescence-Inoculumn-mGAM,17788,2824
A10-e003Coalescence-mBHI-p3,17738,2789
A10-e003Coalescence-mBHI-p5,17774,2797
A10-e003Coalescence-mBHI-p7,17750,2741
A10-e003Coalescence-mGAM-p3,17784,2822
A10-e003Coalescence-mGAM-p7,17733,2773
A4-e003Coalescence-Inoculumn-mGAM,17781,2824
C2-e003Coalescence-Inoculumn-mGAM,17735,2815
C8-e003Coalescence-mBHI-p5,17768,2745
C8-e003Coalescence-mBHI-p7,17683,2665
C8-e003Coalescence-mGAM-p7,17777,2804
E100-e003Coalescence-mBHI-p5_S7,17786,2816
E100-e003Coalescence-mBHI-p7_S103,17709,2795
E100-e003Coalescence-mGAM-p3_S155,17733,2810
E100-e003Coalescence-mGAM-p5_S55,17557,2763
E100-e003Coalescence-mGAM-p7_S151,17590,2784
G8-e003Coalescence-mBHI-p3_S129,17786,2821
G8-e003Coalescence-mBHI-p5_S29,17778,2811
G8-e003Coalescence-mBHI-p7_S125,17757,2761
G8-e003Coalescence-mGAM-p3_S177,17644,2787
G8-e003Coalescence-mGAM-p5_S77,17770,2807
G8-e003Coalescence-mGAM-p7_S173,17777,2818
