,0.025,0.025
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,0.8049999999999999
A5-e003Coalescence-Inoculumn-mBHI,0.291,0.189
A5-e003Coalescence-mBHI-inoculumn-redo,0.376,0.229
A5-e003Coalescence-mBHI-p3,0.0,0.5655249999999999
A5-e003Coalescence-mBHI-p7,0.08,0.628
A5-e003Coalescence-mGAM-p3,0.0,0.556
D2-e003Coalescence-Inoculumn-mBHI,0.319,0.214
D2-e003Coalescence-mBHI-p3,0.08,0.619
D2-e003Coalescence-mBHI-p5,0.055,0.679
D2-e003Coalescence-mBHI-p7,0.0,0.33299999999999996
D2-e003Coalescence-mGAM-p5,0.146,0.46
E5-e003Coalescence-mBHI-p3_S12,0.054,0.663
E5-e003Coalescence-mBHI-p5_S4,0.044,0.69
E5-e003Coalescence-mBHI-p7_S100,0.082,0.523
E5-e003Coalescence-mGAM-p3_S60,0.0,0.429
E5-e003Coalescence-mGAM-p5_S52,0.088,0.333
E5-e003Coalescence-mGAM-p7_S148,0.197,0.342
H2-e003Coalescence-mBHI-p3_S45,0.057,0.658
H2-e003Coalescence-mBHI-p7_S133,0.054,0.656
H2-e003Coalescence-mGAM-p3_S93,0.0,0.548
H2-e003Coalescence-mGAM-p5_S85,0.0,0.25
H2-e003Coalescence-mGAM-p7_S181,0.108,0.528
