,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,0.9997387862796833,0.0003615250628991679
D5-e003Coalescence-Inoculumn-mGAM,0.0001445323951920258,0.9997392103735243
A11-e003Coalescence-mBHI-p3,0.0405452946350044,0.9527979485194503
A11-e003Coalescence-mBHI-p5,0.012197596012899445,0.9763648151732145
A11-e003Coalescence-mBHI-p7,0.0016892406918792141,0.9892758854267466
A11-e003Coalescence-mGAM-p3,0.018458321117951725,0.9706681826978903
A11-e003Coalescence-mGAM-p7,0.00081559659923776,0.9849837429843236
A5-e003Coalescence-Inoculumn-mGAM,0.5596648099286622,0.4015479001354751
D2-e003Coalescence-Inoculumn-mGAM,0.5606371543047005,0.39988310431585067
D8-e003Coalescence-mBHI-p5,0.005450991888986612,0.9904075866073156
D8-e003Coalescence-mGAM-p5,0.0017467018469656994,0.9905130636733114
E111-e003Coalescence-mBHI-p3_S108,0.03771904622300401,0.9311694406812464
E111-e003Coalescence-mBHI-p5_S8,0.010747483631388647,0.9774683568802012
E111-e003Coalescence-mBHI-p7_S104,0.027156845499853418,0.9402275982194697
E111-e003Coalescence-mGAM-p5_S56,0.000620150493501417,0.9749603251403135
H8-e003Coalescence-mBHI-p5_S41,0.004529952115704096,0.988279756144765
H8-e003Coalescence-mBHI-p7_S137,0.009156747776800547,0.9805628991677955
H8-e003Coalescence-mGAM-p5_S89,0.0009966774162024823,0.9832450164505515
H8-e003Coalescence-mGAM-p7_S185,0.0005131437506107692,0.995015095800271
