,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-Inoculumn-mBHI,0.9968709875171221,0.74
C4-e003Coalescence-mBHI-inoculumn-redo,0.765,0.858
B4-e003Coalescence-Inoculumn-mBHI,0.795,0.757
B4-e003Coalescence-mBHI-p3,0.697,0.688
B4-e003Coalescence-mBHI-p5,0.524,0.524
B4-e003Coalescence-mGAM-p5,0.429,0.263
C3-e003Coalescence-mBHI-inoculumn-redo,0.822,0.792
C3-e003Coalescence-mBHI-p5,0.755,0.591
C3-e003Coalescence-mBHI-p7,0.743,0.586
C3-e003Coalescence-mGAM-p3,0.623,0.534
C3-e003Coalescence-mGAM-p5,0.364,0.157
C3-e003Coalescence-mGAM-p7,0.152,0.152
F4-e003Coalescence-mBHI-p3_S23,0.715,0.706
F4-e003Coalescence-mBHI-p5_S15,0.533,0.473
F4-e003Coalescence-mBHI-p7_S111,0.477,0.438
F4-e003Coalescence-mGAM-p3_S71,0.6275,0.544
F4-e003Coalescence-mGAM-p5_S63,0.673,0.542
F4-e003Coalescence-mGAM-p7_S159,0.6950000000000001,0.616
G3-e003Coalescence-mBHI-p3_S34,0.5974999999999999,0.584
G3-e003Coalescence-mBHI-p5_S26,0.556,0.539
G3-e003Coalescence-mBHI-p7_S122,0.472,0.47
G3-e003Coalescence-mGAM-p3_S82,0.922,0.89
G3-e003Coalescence-mGAM-p5_S74,0.5900000000000001,0.185
