,0.025,0.025
C4-e003Coalescence-Inoculumn-mGAM,0.803,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,1.0
C11-e003Coalescence-mBHI-p3,0.055,0.582
C11-e003Coalescence-mBHI-p5,0.10399999999999998,0.533
C11-e003Coalescence-mGAM-p3,0.057,0.63
C11-e003Coalescence-mGAM-p5,0.0,0.726075
C11-e003Coalescence-mGAM-p7,0.0,0.7010500000000001
C5-e003Coalescence-Inoculumn-mGAM,0.37017500000000003,0.208
D10-e003Coalescence-mBHI-p3,0.164225,0.423
D10-e003Coalescence-mBHI-p5,0.2532,0.31
D10-e003Coalescence-mBHI-p7,0.2601,0.277
D10-e003Coalescence-mGAM-p3,0.0,0.615
D10-e003Coalescence-mGAM-p5,0.0,0.737
D10-e003Coalescence-mGAM-p7,0.034,0.782
D4-e003Coalescence-Inoculumn-mGAM,0.261,0.0
G111-e003Coalescence-mBHI-p3_S132,0.0,0.0
G111-e003Coalescence-mBHI-p5_S32,0.248,0.3166
G111-e003Coalescence-mBHI-p7_S128,0.269,0.257
G111-e003Coalescence-mGAM-p3_S180,0.0,0.667
G111-e003Coalescence-mGAM-p5_S80,0.0,0.75
G111-e003Coalescence-mGAM-p7_S176,0.0,1.0
H100-e003Coalescence-mBHI-p5_S43,0.268,0.294475
H100-e003Coalescence-mBHI-p7_S139,0.181,0.394
H100-e003Coalescence-mGAM-p5_S91,0.0,0.419
H100-e003Coalescence-mGAM-p7_S187,0.0,0.56
