,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,n_snps
0,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mGAM-p3,0,3,C9-AC/PP-AE-mGAM-mGAM,-0.48761677163741746,-0.5009518831753172,-0.4755840848992328,11445
1,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mGAM-p5,0,5,C9-AC/PP-AE-mGAM-mGAM,-0.41055525307083823,-0.42226698109115796,-0.4057110624226781,11445
2,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mGAM-p7,0,7,C9-AC/PP-AE-mGAM-mGAM,-0.331925420083849,-0.39519276534165615,-0.31681932922665923,11445
3,C9-e003Coalescence-mGAM-p3,C9-e003Coalescence-mGAM-p5,3,5,C9-AC/PP-AE-mGAM-mGAM,-0.2955442184232244,-0.314251308646626,-0.28873037770496474,11445
4,C9-e003Coalescence-mGAM-p3,C9-e003Coalescence-mGAM-p7,3,7,C9-AC/PP-AE-mGAM-mGAM,-0.21515690641867263,-0.3161820410197882,-0.1870448216877662,11445
5,C9-e003Coalescence-mGAM-p5,C9-e003Coalescence-mGAM-p7,5,7,C9-AC/PP-AE-mGAM-mGAM,-0.12886807069727757,-0.3431072264142448,-0.07522227035601614,11445
6,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mBHI-p3,0,3,C9-AC/PP-AE-mGAM-mBHI,-0.2578274279626976,-0.2729622861848079,-0.2507033603085841,11445
7,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mBHI-p5,0,5,C9-AC/PP-AE-mGAM-mBHI,-0.19113899588382138,-0.19994041602958787,-0.18468800815877764,11445
8,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mBHI-p7,0,7,C9-AC/PP-AE-mGAM-mBHI,-0.16609541776716444,-0.17181046556912152,-0.1518011999874439,11445
9,C9-e003Coalescence-mBHI-p3,C9-e003Coalescence-mBHI-p5,3,5,C9-AC/PP-AE-mGAM-mBHI,-0.08498425485223232,-0.1002054354211534,-0.0802839118970679,11445
10,C9-e003Coalescence-mBHI-p3,C9-e003Coalescence-mBHI-p7,3,7,C9-AC/PP-AE-mGAM-mBHI,-0.09829677158493885,-0.10180622503735648,-0.07228152900600368,11445
11,C9-e003Coalescence-mBHI-p5,C9-e003Coalescence-mBHI-p7,5,7,C9-AC/PP-AE-mGAM-mBHI,-0.11160928831764544,-0.11914136615764209,-0.059578803159775096,11445
12,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mGAM-p3,0,3,B10-AC/PP-AE-mGAM-mGAM,-0.4272044527268456,-0.43155385333542245,-0.401935328469199,11445
13,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mGAM-p7,0,7,B10-AC/PP-AE-mGAM-mGAM,-0.1251266454286678,-0.12959715786585096,-0.12053004068795718,11445
14,B10-e003Coalescence-mGAM-p3,B10-e003Coalescence-mGAM-p7,3,7,B10-AC/PP-AE-mGAM-mGAM,0.10011168810869137,0.08006872802128748,0.1094442761417549,11445
15,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mBHI-p3,0,3,B10-AC/PP-AE-mGAM-mBHI,-0.11279989824208671,-0.11548551832668486,-0.10742298227568126,11445
16,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mBHI-p5,0,5,B10-AC/PP-AE-mGAM-mBHI,-0.19996038879401673,-0.20380448375236504,-0.19663750126057564,11445
17,B10-e003Coalescence-mBHI-p3,B10-e003Coalescence-mBHI-p5,3,5,B10-AC/PP-AE-mGAM-mBHI,-0.3347323479581932,-0.34031136201778245,-0.32642512912459043,11445
18,B4-e003Coalescence-Inoculumn-mGAM,F100-e003Coalescence-mGAM-p3_S167,0,3,F10-AC/PP-AE-mGAM-mGAM,-1.4121235143142892,-1.4279272221113013,-1.3955787565628013,11445
19,B4-e003Coalescence-Inoculumn-mGAM,F100-e003Coalescence-mGAM-p7_S163,0,7,F10-AC/PP-AE-mGAM-mGAM,0.0463885140171109,0.042941283403201226,0.05156810734636955,11445
20,F100-e003Coalescence-mGAM-p3_S167,F100-e003Coalescence-mGAM-p7_S163,3,7,F10-AC/PP-AE-mGAM-mGAM,1.1404570040789586,1.1279640233457635,1.1533062156515115,11445
21,C3-e003Coalescence-Inoculumn-mGAM,G9-e003Coalescence-mGAM-p3_S178,0,3,G9-AC/PP-AE-mGAM-mGAM,-0.3528689846848035,-0.3662040962227032,-0.3488668555266433,11445
22,C3-e003Coalescence-Inoculumn-mGAM,G9-e003Coalescence-mGAM-p5_S78,0,5,G9-AC/PP-AE-mGAM-mGAM,-0.34757739606850363,-0.35816594076126973,-0.33954825322062293,11445
23,C3-e003Coalescence-Inoculumn-mGAM,G9-e003Coalescence-mGAM-p7_S174,0,7,G9-AC/PP-AE-mGAM-mGAM,-0.2647070774295266,-0.38123906483196374,-0.23386872233041645,11445
24,G9-e003Coalescence-mGAM-p3_S178,G9-e003Coalescence-mGAM-p5_S78,3,5,G9-AC/PP-AE-mGAM-mGAM,-0.3351405963026387,-0.3490173694540919,-0.32106469099253687,11445
25,G9-e003Coalescence-mGAM-p3_S178,G9-e003Coalescence-mGAM-p7_S174,3,7,G9-AC/PP-AE-mGAM-mGAM,-0.2005866181312343,-0.3938851557914104,-0.14364317313681252,11445
26,G9-e003Coalescence-mGAM-p5_S78,G9-e003Coalescence-mGAM-p7_S174,5,7,G9-AC/PP-AE-mGAM-mGAM,-0.05506836463865644,-0.4579198809158186,0.046331480815997556,11445
27,B4-e003Coalescence-Inoculumn-mGAM,F100-e003Coalescence-mBHI-p7_S115,0,7,F10-AC/PP-AE-mGAM-mBHI,-0.13231233708976844,-0.1334633171260248,-0.13113789510150992,11445
28,C3-e003Coalescence-Inoculumn-mGAM,G9-e003Coalescence-mBHI-p3_S130,0,3,G9-AC/PP-AE-mGAM-mBHI,-0.3875559747900504,-0.40089108632795023,-0.37322292709544636,11445
29,C3-e003Coalescence-Inoculumn-mGAM,G9-e003Coalescence-mBHI-p5_S30,0,5,G9-AC/PP-AE-mGAM-mBHI,-0.31420718819881704,-0.3286843530499398,-0.31020503763908325,11445
30,G9-e003Coalescence-mBHI-p3_S130,G9-e003Coalescence-mBHI-p5_S30,3,5,G9-AC/PP-AE-mGAM-mBHI,-0.20218328538311847,-0.23165802998657398,-0.202042121495303,11445
