,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,n_snps
0,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mGAM-p3,0,3,C3-AC/PP-AE-mBHI-mGAM,0.4580572191310653,0.4526740961280289,0.461237904842133,15060
1,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mGAM-p5,0,5,C3-AC/PP-AE-mBHI-mGAM,-0.05056244754711319,-0.05283535425142336,-0.04776496439068004,15060
2,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mGAM-p7,0,7,C3-AC/PP-AE-mBHI-mGAM,-0.013556421802030854,-0.0151799265908239,-0.011917908371925506,15060
3,C3-e003Coalescence-mGAM-p3,C3-e003Coalescence-mGAM-p5,3,5,C3-AC/PP-AE-mBHI-mGAM,-0.8134919475643809,-0.8158797495026325,-0.806498239673298,15060
4,C3-e003Coalescence-mGAM-p3,C3-e003Coalescence-mGAM-p7,3,7,C3-AC/PP-AE-mBHI-mGAM,-0.367266652501853,-0.3684605534709788,-0.3660704436299633,15060
5,C3-e003Coalescence-mGAM-p5,C3-e003Coalescence-mGAM-p7,5,7,C3-AC/PP-AE-mBHI-mGAM,0.07895864256067497,0.07196493466959186,0.0789586425606752,15060
6,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mBHI-p5,0,5,C3-AC/PP-AE-mBHI-mBHI,-0.22994651831895507,-0.23593354087834703,-0.22443979821851326,15060
7,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mBHI-p7,0,7,C3-AC/PP-AE-mBHI-mBHI,-0.04271613649901771,-0.04597815471791604,-0.04018486415178752,15060
8,C3-e003Coalescence-mBHI-p5,C3-e003Coalescence-mBHI-p7,5,7,C3-AC/PP-AE-mBHI-mBHI,0.4235662620619811,0.40903183290787015,0.4383974795179655,15060
9,B4-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mGAM-p5,0,5,B4-AC/PP-AE-mBHI-mGAM,-0.3058690789443163,-0.3081214057279771,-0.3035961722400061,15060
10,B4-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mBHI-p3,0,3,B4-AC/PP-AE-mBHI-mBHI,-0.058336725608107834,-0.06679782947711868,-0.0496969806092703,15060
11,C3-e003Coalescence-mBHI-inoculumn-redo,G3-e003Coalescence-mBHI-p3_S34,0,3,G3-AC/PP-AE-mBHI-mBHI,-0.6919615372095285,-0.7024751263468374,-0.6809990807488522,15060
12,C3-e003Coalescence-mBHI-inoculumn-redo,G3-e003Coalescence-mBHI-p5_S26,0,5,G3-AC/PP-AE-mBHI-mBHI,-0.03425105790925285,-0.039166220392837126,-0.029052246774320434,15060
13,C3-e003Coalescence-mBHI-inoculumn-redo,G3-e003Coalescence-mBHI-p7_S122,0,7,G3-AC/PP-AE-mBHI-mBHI,0.22758199698242865,0.21948057413977465,0.23028176664391128,15060
14,G3-e003Coalescence-mBHI-p3_S34,G3-e003Coalescence-mBHI-p5_S26,3,5,G3-AC/PP-AE-mBHI-mBHI,0.9504819942647813,0.931724120665588,0.9701263674078143,15060
15,G3-e003Coalescence-mBHI-p3_S34,G3-e003Coalescence-mBHI-p7_S122,3,7,G3-AC/PP-AE-mBHI-mBHI,0.9168108210865642,0.9014406651649944,0.925739271106633,15060
16,G3-e003Coalescence-mBHI-p5_S26,G3-e003Coalescence-mBHI-p7_S122,5,7,G3-AC/PP-AE-mBHI-mBHI,0.8827991440301961,0.8538096542623435,0.8938180306020296,15060
17,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mBHI-p3_S23,0,3,F4-AC/PP-AE-mBHI-mBHI,-0.02801094528003123,-0.03679233430596297,-0.01837685516803172,15060
18,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mBHI-p5_S15,0,5,F4-AC/PP-AE-mBHI-mBHI,0.011064033512578321,0.008811706728917557,0.017476072066121073,15060
19,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mBHI-p7_S111,0,7,F4-AC/PP-AE-mBHI-mBHI,0.0965657866458188,0.08751531594885208,0.10808409486576043,15060
20,F4-e003Coalescence-mBHI-p3_S23,F4-e003Coalescence-mBHI-p5_S15,3,5,F4-AC/PP-AE-mBHI-mBHI,0.07260730694188977,0.057236014861924464,0.08994513056383616,15060
21,F4-e003Coalescence-mBHI-p3_S23,F4-e003Coalescence-mBHI-p7_S111,3,7,F4-AC/PP-AE-mBHI-mBHI,0.19124650995127374,0.17393766956733395,0.21189509424698366,15060
22,F4-e003Coalescence-mBHI-p5_S15,F4-e003Coalescence-mBHI-p7_S111,5,7,F4-AC/PP-AE-mBHI-mBHI,0.31032016947892027,0.2786435220395366,0.3506342482487159,15060
23,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mGAM-p3_S71,0,3,F4-AC/PP-AE-mBHI-mGAM,0.460618318668183,0.45528164332960464,0.4644064965086999,15060
24,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mGAM-p5_S63,0,5,F4-AC/PP-AE-mBHI-mGAM,-0.5280143704894864,-0.5329761873089512,-0.523119617877579,15060
25,B4-e003Coalescence-Inoculumn-mBHI,F4-e003Coalescence-mGAM-p7_S159,0,7,F4-AC/PP-AE-mBHI-mGAM,-0.7117323783807852,-0.7190968928048556,-0.7050654002925535,15060
26,F4-e003Coalescence-mGAM-p3_S71,F4-e003Coalescence-mGAM-p5_S63,3,5,F4-AC/PP-AE-mBHI-mGAM,-2.0103686774382297,-2.022565636141547,-1.9982886489287772,15060
27,F4-e003Coalescence-mGAM-p3_S71,F4-e003Coalescence-mGAM-p7_S159,3,7,F4-AC/PP-AE-mBHI-mGAM,-1.5905661505533204,-1.6031753150043675,-1.5792870848395542,15060
28,F4-e003Coalescence-mGAM-p5_S63,F4-e003Coalescence-mGAM-p7_S159,5,7,F4-AC/PP-AE-mBHI-mGAM,-1.1710251402528384,-1.1999007612751968,-1.1438027543601739,15060
29,C3-e003Coalescence-mBHI-inoculumn-redo,G3-e003Coalescence-mGAM-p3_S82,0,3,G3-AC/PP-AE-mBHI-mGAM,0.08579534200391414,0.07888422976787209,0.0912456307789129,15060
30,C3-e003Coalescence-mBHI-inoculumn-redo,G3-e003Coalescence-mGAM-p5_S74,0,5,G3-AC/PP-AE-mBHI-mGAM,0.3775356495824889,0.3744386451280708,0.37982956838463644,15060
31,G3-e003Coalescence-mGAM-p3_S82,G3-e003Coalescence-mGAM-p5_S74,3,5,G3-AC/PP-AE-mBHI-mGAM,0.815146110950351,0.8033472132441748,0.821889314760736,15060
