,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,n_snps
0,C2-e003Coalescence-Inoculumn-mGAM,C8-e003Coalescence-mGAM-p7,0,7,C8-AA-AE-mGAM-mGAM,0.2428777788825559,0.2075587863525726,0.28602140320576697,2762
1,C2-e003Coalescence-Inoculumn-mGAM,C8-e003Coalescence-mBHI-p5,0,5,C8-AA-AE-mGAM-mBHI,0.6812671140967167,0.5926945141680259,0.8024458311579373,2762
2,C2-e003Coalescence-Inoculumn-mGAM,C8-e003Coalescence-mBHI-p7,0,7,C8-AA-AE-mGAM-mBHI,-0.1894408917862871,-0.20910805759064466,-0.16924495848528648,2762
3,C8-e003Coalescence-mBHI-p5,C8-e003Coalescence-mBHI-p7,5,7,C8-AA-AE-mGAM-mBHI,-2.3627140013719945,-2.67424511044131,-2.1295519330308617,2762
4,A4-e003Coalescence-Inoculumn-mGAM,A10-e003Coalescence-mBHI-p5,0,5,A10-AA-AE-mGAM-mBHI,-0.4484995238979676,-0.467808227556094,-0.4295714708130656,2762
5,A4-e003Coalescence-Inoculumn-mGAM,A10-e003Coalescence-mBHI-p7,0,7,A10-AA-AE-mGAM-mBHI,-0.13561416713141794,-0.15376371326709662,-0.11633695665949977,2762
6,A10-e003Coalescence-mBHI-p5,A10-e003Coalescence-mBHI-p7,5,7,A10-AA-AE-mGAM-mBHI,0.6456539092727321,0.5820019395471,0.7162037084457878,2762
7,A4-e003Coalescence-Inoculumn-mGAM,A10-e003Coalescence-mGAM-p3,0,3,A10-AA-AE-mGAM-mGAM,1.7849484583365776,1.5807239812697842,2.1619870006122004,2762
8,C2-e003Coalescence-Inoculumn-mGAM,G8-e003Coalescence-mGAM-p3_S177,0,3,G8-AA-AE-mGAM-mGAM,0.4605908453246049,0.3844119694029661,0.5533421543966908,2762
9,C2-e003Coalescence-Inoculumn-mGAM,G8-e003Coalescence-mGAM-p5_S77,0,5,G8-AA-AE-mGAM-mGAM,-0.008462230374691427,-0.042456675056117034,0.0268447468230388,2762
