,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p1_S764,3341,6200
A10-e003Coalescence-mBHI-p5,3040,5588
A10-e003Coalescence-mBHI-p7,3115,5756
A10-e003Coalescence-mGAM-p3,3178,5783
A10-e003Coalescence-mGAM-p7,3244,5973
A4-e003Coalescence-Inoculumn-mGAM,3341,6187
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,3188,5764
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,3203,5897
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,3348,6203
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,3330,6156
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,2675,4920
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,2953,5328
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,3254,5985
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,3276,5997
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,2581,4707
C2-e003Coalescence-Inoculumn-mGAM,3268,6074
C8-e003Coalescence-mBHI-p1_S750,3168,5900
C8-e003Coalescence-mBHI-p5,3346,6203
C8-e003Coalescence-mBHI-p7,3221,5956
C8-e003Coalescence-mGAM-p7,3181,5853
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,3142,5752
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,3348,6207
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,3348,6207
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,2544,4534
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,3338,6174
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,3281,6028
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,3348,6204
Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,3348,6203
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,3110,5714
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,2803,5262
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,3348,6207
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,3348,6207
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,3283,6065
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,3346,6206
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,3329,6169
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,3131,5766
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,3343,6194
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,3289,6048
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,3142,5754
E10-e003Coalescence-mBHI-p1_S828,3348,6207
E100-e003Coalescence-mBHI-p5_S7,3340,6185
E100-e003Coalescence-mBHI-p7_S103,3126,5804
E100-e003Coalescence-mGAM-p3_S155,2596,4699
E100-e003Coalescence-mGAM-p5_S55,2948,5362
E100-e003Coalescence-mGAM-p7_S151,3259,5927
G8-e003Coalescence-mBHI-p1_S814,3324,6154
G8-e003Coalescence-mBHI-p3_S129,3346,6195
G8-e003Coalescence-mBHI-p5_S29,3328,6173
G8-e003Coalescence-mBHI-p7_S125,3262,6052
G8-e003Coalescence-mGAM-p3_S177,1106,1966
G8-e003Coalescence-mGAM-p5_S77,2967,5307
G8-e003Coalescence-mGAM-p7_S173,3306,6047
