,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,shifts1,shifts2,initial_freqs
0,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,1,C11-AE-AF-mGAM-mBHI,,,,,,
1,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,2,C11-AE-AF-mGAM-mBHI,,,,,,
2,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,3,C11-AE-AF-mGAM-mBHI,,,,,,
3,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,4,C11-AE-AF-mGAM-mBHI,,,,,,
4,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,5,C11-AE-AF-mGAM-mBHI,,,,,,
5,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,6,C11-AE-AF-mGAM-mBHI,,,,,,
6,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,7,C11-AE-AF-mGAM-mBHI,,,,,,
7,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,2,C11-AE-AF-mGAM-mBHI,,,,,,
8,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,3,C11-AE-AF-mGAM-mBHI,,,,,,
9,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,4,C11-AE-AF-mGAM-mBHI,,,,,,
10,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,5,C11-AE-AF-mGAM-mBHI,,,,,,
11,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,6,C11-AE-AF-mGAM-mBHI,,,,,,
12,C11-e003Coalescence-mBHI-p1_S774,C11-e003Coalescence-mBHI-p1_S774,1,7,C11-AE-AF-mGAM-mBHI,,,,,,
13,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,2,3,C11-AE-AF-mGAM-mBHI,,,,,,
14,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,2,4,C11-AE-AF-mGAM-mBHI,,,,,,
15,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,2,5,C11-AE-AF-mGAM-mBHI,,,,,,
16,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,2,6,C11-AE-AF-mGAM-mBHI,,,,,,
17,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,2,7,C11-AE-AF-mGAM-mBHI,,,,,,
18,C11-e003Coalescence-mBHI-p3,C11-e003Coalescence-mBHI-p3,3,4,C11-AE-AF-mGAM-mBHI,,,,,,
19,C11-e003Coalescence-mBHI-p3,C11-e003Coalescence-mBHI-p3,3,5,C11-AE-AF-mGAM-mBHI,,,,,,
20,C11-e003Coalescence-mBHI-p3,C11-e003Coalescence-mBHI-p3,3,6,C11-AE-AF-mGAM-mBHI,,,,,,
21,C11-e003Coalescence-mBHI-p3,C11-e003Coalescence-mBHI-p3,3,7,C11-AE-AF-mGAM-mBHI,,,,,,
22,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,4,5,C11-AE-AF-mGAM-mBHI,,,,,,
23,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,4,6,C11-AE-AF-mGAM-mBHI,,,,,,
24,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,4,7,C11-AE-AF-mGAM-mBHI,,,,,,
25,C11-e003Coalescence-mBHI-p5,C11-e003Coalescence-mBHI-p5,5,6,C11-AE-AF-mGAM-mBHI,,,,,,
26,C11-e003Coalescence-mBHI-p5,C11-e003Coalescence-mBHI-p5,5,7,C11-AE-AF-mGAM-mBHI,,,,,,
27,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,6,7,C11-AE-AF-mGAM-mBHI,,,,,,
28,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,1,C11-AE-AF-mGAM-mGAM,,,,,,
29,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,2,C11-AE-AF-mGAM-mGAM,,,,,,
30,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,3,C11-AE-AF-mGAM-mGAM,,,,,,
31,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,4,C11-AE-AF-mGAM-mGAM,,,,,,
32,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,5,C11-AE-AF-mGAM-mGAM,,,,,,
33,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,6,C11-AE-AF-mGAM-mGAM,,,,,,
34,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,7,C11-AE-AF-mGAM-mGAM,,,,,,
35,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,2,C11-AE-AF-mGAM-mGAM,,,,,,
36,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,3,C11-AE-AF-mGAM-mGAM,,,,,,
37,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,4,C11-AE-AF-mGAM-mGAM,,,,,,
38,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,5,C11-AE-AF-mGAM-mGAM,,,,,,
39,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,6,C11-AE-AF-mGAM-mGAM,,,,,,
40,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p1_S778,1,7,C11-AE-AF-mGAM-mGAM,,,,,,
41,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2,3,C11-AE-AF-mGAM-mGAM,,,,,,
42,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2,4,C11-AE-AF-mGAM-mGAM,,,,,,
43,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2,5,C11-AE-AF-mGAM-mGAM,,,,,,
44,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2,6,C11-AE-AF-mGAM-mGAM,,,,,,
45,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2,7,C11-AE-AF-mGAM-mGAM,,,,,,
46,C11-e003Coalescence-mGAM-p3,C11-e003Coalescence-mGAM-p3,3,4,C11-AE-AF-mGAM-mGAM,,,,,,
47,C11-e003Coalescence-mGAM-p3,C11-e003Coalescence-mGAM-p3,3,5,C11-AE-AF-mGAM-mGAM,,,,,,
48,C11-e003Coalescence-mGAM-p3,C11-e003Coalescence-mGAM-p3,3,6,C11-AE-AF-mGAM-mGAM,,,,,,
49,C11-e003Coalescence-mGAM-p3,C11-e003Coalescence-mGAM-p3,3,7,C11-AE-AF-mGAM-mGAM,,,,,,
50,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,4,5,C11-AE-AF-mGAM-mGAM,,,,,,
51,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,4,6,C11-AE-AF-mGAM-mGAM,,,,,,
52,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,4,7,C11-AE-AF-mGAM-mGAM,,,,,,
53,C11-e003Coalescence-mGAM-p5,C11-e003Coalescence-mGAM-p5,5,6,C11-AE-AF-mGAM-mGAM,,,,,,
54,C11-e003Coalescence-mGAM-p5,C11-e003Coalescence-mGAM-p5,5,7,C11-AE-AF-mGAM-mGAM,,,,,,
55,C_G8_C11_AF_AE_mGAM_mGAM_6_S272,C_G8_C11_AF_AE_mGAM_mGAM_6_S272,6,7,C11-AE-AF-mGAM-mGAM,,,,,,
56,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,1,G11-AE-AF-mGAM-mBHI,,,,,,
57,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,2,G11-AE-AF-mGAM-mBHI,,,,,,
58,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,4,G11-AE-AF-mGAM-mBHI,,,,,,
59,C5-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,5,G11-AE-AF-mGAM-mBHI,,,,,,
