,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,n_snps
0,B2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p1_S717,0,1,B2-AA-AC/PP-mBHI-mBHI,0.6222456239789955,0.5102033462101294,0.6446285632804689,11881
1,B2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p3,0,3,B2-AA-AC/PP-mBHI-mBHI,0.6833237064570179,0.624979291872519,0.7670951825506533,11881
2,B2-e003Coalescence-mBHI-p1_S717,B2-e003Coalescence-mBHI-p3,1,3,B2-AA-AC/PP-mBHI-mBHI,0.7026712780452924,0.6263461258192807,0.8283284921857457,11881
3,B2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mGAM-p3,0,3,B2-AA-AC/PP-mBHI-mGAM,-1.3674018755622785,-1.4032538877404286,-1.3487347642371885,11881
4,B2-e003Coalescence-Inoculumn-mBHI,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,0,5,B2-AA-AC/PP-mBHI-mGAM,-0.9023878245589998,-0.9242985845154208,-0.893329432822366,11881
5,B2-e003Coalescence-Inoculumn-mBHI,Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,0,7,B2-AA-AC/PP-mBHI-mGAM,-0.8180663512808823,-0.8297346414257777,-0.8148687885235291,11881
6,B2-e003Coalescence-mGAM-p3,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,3,5,B2-AA-AC/PP-mBHI-mGAM,-0.20574224146549902,-0.23186173424981157,-0.18072949574926173,11881
7,B2-e003Coalescence-mGAM-p3,Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,3,7,B2-AA-AC/PP-mBHI-mGAM,-0.4049036826785002,-0.41551408807995815,-0.3944687202723575,11881
8,Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,5,7,B2-AA-AC/PP-mBHI-mGAM,-0.6041359781658473,-0.6187171777764369,-0.5891858551356943,11881
9,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mGAM-p1_S785,0,1,F2-AA-AC/PP-mBHI-mGAM,-0.7933352292194831,-0.8938178760220965,-0.7709522899180097,11881
10,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mGAM-p3_S69,0,3,F2-AA-AC/PP-mBHI-mGAM,-1.5331082567811587,-1.5729710789838702,-1.5089014767040436,11881
11,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mGAM-p5_S61,0,5,F2-AA-AC/PP-mBHI-mGAM,-1.0945919084550209,-1.1167532966303793,-1.081762697026119,11881
12,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mGAM-p7_S157,0,7,F2-AA-AC/PP-mBHI-mGAM,-0.670588425038892,-0.6862080834331247,-0.6621117161295661,11881
13,F2-e003Coalescence-mGAM-p1_S785,F2-e003Coalescence-mGAM-p3_S69,1,3,F2-AA-AC/PP-mBHI-mGAM,-1.9004357588391818,-1.9300864925063872,-1.8700405874201715,11881
14,F2-e003Coalescence-mGAM-p1_S785,F2-e003Coalescence-mGAM-p5_S61,1,5,F2-AA-AC/PP-mBHI-mGAM,-1.1690556853650929,-1.1806602024208517,-1.1568135331554674,11881
15,F2-e003Coalescence-mGAM-p1_S785,F2-e003Coalescence-mGAM-p7_S157,1,7,F2-AA-AC/PP-mBHI-mGAM,-0.6497120753668338,-0.6566799963319971,-0.6421042494163741,11881
16,F2-e003Coalescence-mGAM-p3_S69,F2-e003Coalescence-mGAM-p5_S61,3,5,F2-AA-AC/PP-mBHI-mGAM,-0.43780168730986535,-0.47171815577551607,-0.3978190292343628,11881
17,F2-e003Coalescence-mGAM-p3_S69,F2-e003Coalescence-mGAM-p7_S157,3,7,F2-AA-AC/PP-mBHI-mGAM,-0.024080102075016874,-0.04340657335172654,-0.005391745446557443,11881
18,F2-e003Coalescence-mGAM-p5_S61,F2-e003Coalescence-mGAM-p7_S157,5,7,F2-AA-AC/PP-mBHI-mGAM,0.38919235012357056,0.35772204987169265,0.4216792023259749,11881
19,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mBHI-p1_S781,0,1,F2-AA-AC/PP-mBHI-mBHI,0.48564276374719717,0.4039647327329299,0.5594015863709323,11881
20,B2-e003Coalescence-Inoculumn-mBHI,F2-e003Coalescence-mBHI-p5_S13,0,5,F2-AA-AC/PP-mBHI-mBHI,1.000257328405941,0.9784992718944081,1.0109196525710036,11881
21,F2-e003Coalescence-mBHI-p1_S781,F2-e003Coalescence-mBHI-p5_S13,1,5,F2-AA-AC/PP-mBHI-mBHI,1.1272954297781292,1.115291123693629,1.1365466961855308,11881
