,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,n_snps
0,D3-e003Coalescence-Inoculumn-mGAM,H9-e003Coalescence-mBHI-p1_S823,0,1,H9-AC/PP-AF-mGAM-mBHI,-1.3693437715928383,-1.377472840224618,-1.3571654297838462,22799
1,D3-e003Coalescence-Inoculumn-mGAM,B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,0,2,H9-AC/PP-AF-mGAM-mBHI,-2.2482166062719005,-2.261344153357412,-2.2352228526987874,22799
2,D3-e003Coalescence-Inoculumn-mGAM,H9-e003Coalescence-mBHI-p5_S42,0,5,H9-AC/PP-AF-mGAM-mBHI,-1.3590051768487643,-1.366684292345023,-1.3517845221914764,22799
3,D3-e003Coalescence-Inoculumn-mGAM,H9-e003Coalescence-mBHI-p7_S138,0,7,H9-AC/PP-AF-mGAM-mBHI,-1.3350842241778644,-1.359552099979455,-1.3114440596447166,22799
4,H9-e003Coalescence-mBHI-p1_S823,B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,1,2,H9-AC/PP-AF-mGAM-mBHI,-3.129089871775412,-3.154764834946098,-3.10264877253061,22799
5,H9-e003Coalescence-mBHI-p1_S823,H9-e003Coalescence-mBHI-p5_S42,1,5,H9-AC/PP-AF-mGAM-mBHI,-1.356935895082665,-1.3659094821985498,-1.347604794422827,22799
6,H9-e003Coalescence-mBHI-p1_S823,H9-e003Coalescence-mBHI-p7_S138,1,7,H9-AC/PP-AF-mGAM-mBHI,-1.3295553709389187,-1.3577141924325211,-1.3018928926619795,22799
7,B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,H9-e003Coalescence-mBHI-p5_S42,2,5,H9-AC/PP-AF-mGAM-mBHI,-0.7661648224278688,-0.7808829181655631,-0.7522003101577097,22799
8,B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,H9-e003Coalescence-mBHI-p7_S138,2,7,H9-AC/PP-AF-mGAM-mBHI,-0.9690593118825328,-1.0037603141264086,-0.9363793630014643,22799
9,H9-e003Coalescence-mBHI-p5_S42,H9-e003Coalescence-mBHI-p7_S138,5,7,H9-AC/PP-AF-mGAM-mBHI,-1.273104089841173,-1.3672571339507156,-1.1928446688936007,22799
10,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mBHI-p1_S759,0,1,D9-AC/PP-AF-mGAM-mBHI,-1.6308864558415839,-1.6362851624702885,-1.6255025149379072,22799
11,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mBHI-p3,0,3,D9-AC/PP-AF-mGAM-mBHI,-2.2519189927646583,-2.280303489791176,-2.2231487161279375,22799
12,D3-e003Coalescence-Inoculumn-mGAM,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,0,4,D9-AC/PP-AF-mGAM-mBHI,-1.7353409801030468,-1.7468689946134695,-1.7243120502603526,22799
13,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mBHI-p5,0,5,D9-AC/PP-AF-mGAM-mBHI,-1.469784908758987,-1.4810513482099739,-1.459341713699002,22799
14,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mBHI-p7,0,7,D9-AC/PP-AF-mGAM-mBHI,-1.3987580049226824,-1.4229614582817856,-1.3737812057625287,22799
15,D9-e003Coalescence-mBHI-p1_S759,D9-e003Coalescence-mBHI-p3,1,3,D9-AC/PP-AF-mGAM-mBHI,-2.56259006123315,-2.6044751996730597,-2.519190941545138,22799
16,D9-e003Coalescence-mBHI-p1_S759,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,1,4,D9-AC/PP-AF-mGAM-mBHI,-1.7698879195259247,-1.7853508099689046,-1.7552157553153607,22799
17,D9-e003Coalescence-mBHI-p1_S759,D9-e003Coalescence-mBHI-p5,1,5,D9-AC/PP-AF-mGAM-mBHI,-1.4294475207116446,-1.4433218965607502,-1.4164604018168425,22799
18,D9-e003Coalescence-mBHI-p1_S759,D9-e003Coalescence-mBHI-p7,1,7,D9-AC/PP-AF-mGAM-mBHI,-1.3600891122970287,-1.3883072920218194,-1.330930330749353,22799
19,D9-e003Coalescence-mBHI-p3,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,3,4,D9-AC/PP-AF-mGAM-mBHI,-0.1870058373613026,-0.287588083430236,-0.08296168834926544,22799
20,D9-e003Coalescence-mBHI-p3,D9-e003Coalescence-mBHI-p5,3,5,D9-AC/PP-AF-mGAM-mBHI,-0.2960405383130811,-0.34549870792971493,-0.249895580632239,22799
21,D9-e003Coalescence-mBHI-p3,D9-e003Coalescence-mBHI-p7,3,7,D9-AC/PP-AF-mGAM-mBHI,-0.7589464802994669,-0.8095902800427841,-0.7125716598209435,22799
22,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,D9-e003Coalescence-mBHI-p5,4,5,D9-AC/PP-AF-mGAM-mBHI,-0.406113508091817,-0.4788615650661707,-0.34193298934951105,22799
23,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,D9-e003Coalescence-mBHI-p7,4,7,D9-AC/PP-AF-mGAM-mBHI,-0.9503239145760867,-1.008671075945443,-0.8915323000243569,22799
