,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper,sel_med1,sel_lower1,sel_upper1,sel_med2,sel_lower2,sel_upper2
0,C5-e003Coalescence-Inoculumn-mGAM,C11-e003Coalescence-mGAM-p1_S778,0,1,C11-AE-AF-mGAM-mGAM,6.412401456744748,6.176293372458835,6.689701539971049,6.234403626224125,6.005126740027673,6.4947861009074375,-6.3961787980699185,-6.6726894143953945,-6.1582409460677265
1,C5-e003Coalescence-Inoculumn-mGAM,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,0,2,C11-AE-AF-mGAM-mGAM,-0.5034247349012917,-0.5122165223869776,-0.49894900904488676,-0.5034780623481568,-0.5074873050383573,-0.4974669295966342,0.48974501344207544,0.4817140991145426,0.5215331724718647
2,C5-e003Coalescence-Inoculumn-mGAM,C11-e003Coalescence-mGAM-p7,0,7,C11-AE-AF-mGAM-mGAM,-0.9415743252677635,-0.9807123156196255,-0.9061130243266707,-0.9387185188961733,-0.9783936064822693,-0.903547518136575,1.0049899960103643,1.002192770937928,1.0072863410704427
3,C11-e003Coalescence-mGAM-p1_S778,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,1,2,C11-AE-AF-mGAM-mGAM,-7.420687066060086,-7.693793759734498,-7.184912236054664,-7.239081916080698,-7.501742225603751,-7.012106178073572,7.38247961568298,7.145068269612474,7.6588732940692745
4,C11-e003Coalescence-mGAM-p1_S778,C11-e003Coalescence-mGAM-p7,1,7,C11-AE-AF-mGAM-mGAM,-2.1694746878840663,-2.2297167593710676,-2.110595477496173,-2.1352243190395526,-2.197292336612899,-2.077405229418014,2.238149166706892,2.1975295075669328,2.2843238070440246
5,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,C11-e003Coalescence-mGAM-p7,2,7,C11-AE-AF-mGAM-mGAM,-1.11686210047394,-1.1720130459189038,-1.0674128276005423,-1.1132322382117787,-1.1683715161387438,-1.0636630761245365,1.21189138365227,1.1983727254257643,1.21189138365227
6,C5-e003Coalescence-Inoculumn-mGAM,G11-e003Coalescence-mGAM-p1_S842,0,1,G11-AE-AF-mGAM-mGAM,2.90274294918557,2.874372057811932,2.9457042994679825,2.864396271492903,2.8395337215431495,2.8977085342017412,-2.885308049148483,-2.932897191304689,-2.8591888304594755
7,C5-e003Coalescence-Inoculumn-mGAM,B_G8_G11_AF_AE_mGAM_mGAM_2_S176,0,2,G11-AE-AF-mGAM-mGAM,-0.3846702822354584,-0.4058612434948617,-0.37514105824443617,-0.3923542351095311,-0.3973655072460813,-0.3853420844976537,0.3582920679409891,0.34110197424952055,0.41743844862191515
8,C5-e003Coalescence-Inoculumn-mGAM,D_G12_G11_AF_AE_mGAM_mGAM_4_S372,0,4,G11-AE-AF-mGAM-mGAM,-1.2028777629044218,-1.2283306036087047,-1.1795188679543456,-1.1963641470035795,-1.2218309627915336,-1.1724480743506553,1.4202790524128024,1.3885811186288715,1.4533210628525024
9,C5-e003Coalescence-Inoculumn-mGAM,D_G8_C11_AF_AE_mGAM_mGAM_6_S368,0,6,G11-AE-AF-mGAM-mGAM,-1.0076812546104061,-1.0283763602277,-0.9883800383281854,-1.0039852415719603,-1.024688237854685,-0.9852072809021588,1.1724883286787584,1.1704808527484056,1.1751673979155166
10,G11-e003Coalescence-mGAM-p1_S842,B_G8_G11_AF_AE_mGAM_mGAM_2_S176,1,2,G11-AE-AF-mGAM-mGAM,-3.6979076461347486,-3.74549912871025,-3.633369124997177,-3.6390865351016193,-3.6820115798186532,-3.618230721820781,3.620431217417171,3.567511997647524,3.7496964066455893
11,G11-e003Coalescence-mGAM-p1_S842,D_G12_G11_AF_AE_mGAM_mGAM_4_S372,1,4,G11-AE-AF-mGAM-mGAM,-2.5747542987330787,-2.611445178656906,-2.539620768453176,-2.5503086533785226,-2.5857205192916304,-2.5187958161116226,2.858536273930941,2.815203018530896,2.9071735961743235
12,G11-e003Coalescence-mGAM-p1_S842,D_G8_C11_AF_AE_mGAM_mGAM_6_S368,1,6,G11-AE-AF-mGAM-mGAM,-1.791879636410033,-1.8177335836950002,-1.766641993582376,-1.7775643740887523,-1.8029505296959196,-1.7540322062549143,1.9832444161185394,1.9788237605064056,1.9923607258717926
