,sample1,sample2,passage1,passage2,mesocosms,sel_med,sel_lower,sel_upper
0,A4-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mBHI-p1_S732,0,1,A4-AA-AE-mBHI-mBHI,0.4745812917600172,0.4623905574741418,0.4842264878236633
1,A4-e003Coalescence-mBHI-inoculumn-redo,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,0,2,A4-AA-AE-mBHI-mBHI,-0.9364657832544234,-0.9552657483629937,-0.9157377651683849
2,A4-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mBHI-p3,0,3,A4-AA-AE-mBHI-mBHI,-1.3835352595769925,-1.403953893939133,-1.3655111514310776
3,A4-e003Coalescence-mBHI-inoculumn-redo,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,0,4,A4-AA-AE-mBHI-mBHI,-1.3090211722394614,-1.3099549590794417,-1.307670757063185
4,A4-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mBHI-p5,0,5,A4-AA-AE-mBHI-mBHI,-1.0472923180986358,-1.048031690474901,-1.0462269918666305
5,A4-e003Coalescence-mBHI-inoculumn-redo,C_A3_A4_AE_AA_mBHI_mBHI_6_S195,0,6,A4-AA-AE-mBHI-mBHI,-0.813496089482075,-0.829347161839821,-0.7976991456689769
6,A4-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mBHI-p7,0,7,A4-AA-AE-mBHI-mBHI,-0.7480659414990255,-0.7485940646249293,-0.7473049941904503
7,A4-e003Coalescence-mBHI-p1_S732,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,1,2,A4-AA-AE-mBHI-mBHI,-2.3446047505962673,-2.385112788486004,-2.307852672604101
8,A4-e003Coalescence-mBHI-p1_S732,A4-e003Coalescence-mBHI-p3,1,3,A4-AA-AE-mBHI-mBHI,-2.31228765119515,-2.342029191470853,-2.285850344228835
9,A4-e003Coalescence-mBHI-p1_S732,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,1,4,A4-AA-AE-mBHI-mBHI,-1.902899527973052,-1.9058338844175906,-1.899894489076663
10,A4-e003Coalescence-mBHI-p1_S732,A4-e003Coalescence-mBHI-p5,1,5,A4-AA-AE-mBHI-mBHI,-1.4272628968340533,-1.429485133688365,-1.4250207293383632
11,A4-e003Coalescence-mBHI-p1_S732,C_A3_A4_AE_AA_mBHI_mBHI_6_S195,1,6,A4-AA-AE-mBHI-mBHI,-1.0710176052830631,-1.089288932410411,-1.0525407541088594
12,A4-e003Coalescence-mBHI-p1_S732,A4-e003Coalescence-mBHI-p7,1,7,A4-AA-AE-mBHI-mBHI,-0.9515085978893688,-0.9529900891255766,-0.9500138195589087
13,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,A4-e003Coalescence-mBHI-p3,2,3,A4-AA-AE-mBHI-mBHI,-2.2769885446698774,-2.3502321504084445,-2.2102436850614904
14,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,2,4,A4-AA-AE-mBHI-mBHI,-1.6821876715245732,-1.699752471626094,-1.663966182408232
