,0
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,24.0
C12-e003Coalescence-mBHI-p3,15.0
C9-e003Coalescence-mGAM-p3,7.0
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,19.0
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,35.0
Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691,151.0
C11-e003Coalescence-mBHI-p3,25.0
D11-e003Coalescence-mBHI-p5,48.0
D10-e003Coalescence-mBHI-p3,65.0
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,101.0
Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,139.0
B_H11_D10_AE_AF_mGAM_mGAM_4_S191,13.0
H9-e003Coalescence-mGAM-p3_S190,6.0
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,190.0
G8-e003Coalescence-mGAM-p5_S77,27.0
H111-e003Coalescence-mGAM-p3_S192,96.0
Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,33.0
B9-e003Coalescence-mGAM-p5,14.0
G8-e003Coalescence-mGAM-p1_S818,10.0
G111-e003Coalescence-mGAM-p3_S180,83.0
A_E7_A10_AE_AA_mGAM_mGAM_2_S55,7.0
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,5.0
G8-e003Coalescence-mGAM-p7_S173,12.0
B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,5.0
B8-e003Assembly-mGAM-p5,8.0
G9-e003Coalescence-mGAM-p3_S178,6.0
F9-e003Coalescence-mGAM-p5_S66,5.0
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,39.0
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,4.0
C8-e003Assembly-mGAM-p3,9.0
F10-e003Coalescence-mGAM-p1_S833,6.0
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,43.0
E100-e003Coalescence-mGAM-p3_S155,6.0
D_F6_e003Assembly_S354,11.0
D11-e003Coalescence-mGAM-p5,11.0
F9-e003Coalescence-mGAM-p1_S825,15.0
B11-e003Coalescence-mGAM-p3,29.0
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,5.0
Coalescence-E8-D11-AF-AF-mGAM-mBHI-3_S675,456.0
D_B8_e003Assembly_S308,10.0
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,124.0
G9-e003Coalescence-mGAM-p1_S826,9.0
D11-e003Coalescence-mGAM-p1_S779,54.0
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,5.0
A2-e003Coalescence-Inoculumn-mGAM,44.0
C_H8_D11_AF_AF_mGAM_mGAM_6_S284,124.0
H9-e003Coalescence-mGAM-p1_S827,24.0
E9-e003Coalescence-mGAM-p1_S824,10.0
D8-e003Coalescence-mBHI-p1_S751,5.0
D9-e003Coalescence-mGAM-p7,24.0
B10-e003Coalescence-mGAM-p3,5.0
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,5.0
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,28.0
B5-e003Coalescence-Inoculumn-mGAM,27.0
D10-e003Coalescence-mBHI-p5,55.0
H111-e003Coalescence-mGAM-p5_S92,102.0
