,index,shared,sample1,species_id
0,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,2084,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
1,A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,177,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
2,A_A3_A4_AE_AA_mBHI_mBHI_2_S3,923,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
3,A_A4_A5_AF_AA_mBHI_mBHI_2_S4,1374,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
4,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,1665,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
5,A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1899,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
6,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1882,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
7,A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,1,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
8,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,1917,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
9,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,0,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
10,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,1932,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
11,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,1904,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
12,A_E9_A2_AA_AA_mBHI_mGAM_4_S57,1935,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
13,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,1582,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
14,A_E11_A4_AE_AA_mBHI_mGAM_4_S59,1687,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
15,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,1890,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
16,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,1908,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
17,A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,1,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
18,A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,5,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
19,B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,136,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
20,B_A4_E5_AF_AA_mBHI_mBHI_2_S100,1896,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
21,B_C1_G2_AA_AE_mBHI_mBHI_2_S121,1953,A_A1_A2_AA_AA_mBHI_mBHI_2_S1,100013
