,index,shared,sample1,species_id,num_sites
0,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,87,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
1,A2-e003Coalescence-Inoculumn-mGAM,33,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
2,B2-e003Coalescence-Inoculumn-mGAM,41,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
3,C2-e003Coalescence-Inoculumn-mGAM,34,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
4,A5-e003Coalescence-Inoculumn-mGAM,40,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
5,D2-e003Coalescence-Inoculumn-mGAM,38,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
6,A4-e003Coalescence-Inoculumn-mGAM,39,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
7,B8-e003Coalescence-mBHI-p1_S749,48,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
8,E11-e003Coalescence-mGAM-p1_S840,51,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
9,E9-e003Coalescence-mBHI-p1_S820,51,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
10,F8-e003Coalescence-mBHI-p1_S813,47,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
11,A8-e003Coalescence-mBHI-p1_S748,41,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
12,H8-e003Coalescence-mBHI-p1_S815,53,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
13,D8-e003Coalescence-mBHI-p1_S751,48,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
14,E8-e003Coalescence-mBHI-p1_S812,52,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
15,D8-e003Coalescence-mGAM-p1_S755,50,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
16,A9-e003Coalescence-mBHI-p1_S756,56,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
17,E11-e003Coalescence-mBHI-p1_S836,49,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
18,H8-e003Coalescence-mGAM-p1_S819,56,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
19,A11-e003Coalescence-mBHI-p1_S772,53,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
20,Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,44,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
21,C_B5_e003Assembly_6_S209,52,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
22,C_B9_e003Assembly_4_S213,63,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
23,D_B5_e003Assembly_S305,54,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
24,C_E2_e003Assembly_S242,43,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,100205,87
0,D_E9_E8_AA_AA_mGAM_mGAM_4_S345,33,A2-e003Coalescence-Inoculumn-mGAM,100205,110
1,A2-e003Coalescence-Inoculumn-mGAM,110,A2-e003Coalescence-Inoculumn-mGAM,100205,110
2,B2-e003Coalescence-Inoculumn-mGAM,59,A2-e003Coalescence-Inoculumn-mGAM,100205,110
3,C2-e003Coalescence-Inoculumn-mGAM,51,A2-e003Coalescence-Inoculumn-mGAM,100205,110
4,A5-e003Coalescence-Inoculumn-mGAM,50,A2-e003Coalescence-Inoculumn-mGAM,100205,110
5,D2-e003Coalescence-Inoculumn-mGAM,50,A2-e003Coalescence-Inoculumn-mGAM,100205,110
6,A4-e003Coalescence-Inoculumn-mGAM,54,A2-e003Coalescence-Inoculumn-mGAM,100205,110
7,B8-e003Coalescence-mBHI-p1_S749,41,A2-e003Coalescence-Inoculumn-mGAM,100205,110
8,E11-e003Coalescence-mGAM-p1_S840,40,A2-e003Coalescence-Inoculumn-mGAM,100205,110
9,E9-e003Coalescence-mBHI-p1_S820,40,A2-e003Coalescence-Inoculumn-mGAM,100205,110
10,F8-e003Coalescence-mBHI-p1_S813,33,A2-e003Coalescence-Inoculumn-mGAM,100205,110
11,A8-e003Coalescence-mBHI-p1_S748,39,A2-e003Coalescence-Inoculumn-mGAM,100205,110
12,H8-e003Coalescence-mBHI-p1_S815,39,A2-e003Coalescence-Inoculumn-mGAM,100205,110
13,D8-e003Coalescence-mBHI-p1_S751,35,A2-e003Coalescence-Inoculumn-mGAM,100205,110
14,E8-e003Coalescence-mBHI-p1_S812,39,A2-e003Coalescence-Inoculumn-mGAM,100205,110
15,D8-e003Coalescence-mGAM-p1_S755,31,A2-e003Coalescence-Inoculumn-mGAM,100205,110
16,A9-e003Coalescence-mBHI-p1_S756,39,A2-e003Coalescence-Inoculumn-mGAM,100205,110
17,E11-e003Coalescence-mBHI-p1_S836,40,A2-e003Coalescence-Inoculumn-mGAM,100205,110
18,H8-e003Coalescence-mGAM-p1_S819,32,A2-e003Coalescence-Inoculumn-mGAM,100205,110
19,A11-e003Coalescence-mBHI-p1_S772,40,A2-e003Coalescence-Inoculumn-mGAM,100205,110
20,Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,45,A2-e003Coalescence-Inoculumn-mGAM,100205,110
21,C_B5_e003Assembly_6_S209,37,A2-e003Coalescence-Inoculumn-mGAM,100205,110
