,est,input,est_meds,est_01,reads_vals1,reads_vals0,depth_thetas,trials,sample_infer_full,genome,sample_input,sample_infer,sample_input_full1,sample_input_full2,theta_depth_input
0,1.7961705643567913e-05,0.0,0.0,1.7961705643567913e-05,1.0,9279.0,0.4444444444444444,0,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
1,3.1452475309806884e-05,0.0,0.0,3.1452475309806884e-05,1.0,5299.0,0.4444444444444444,1,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_001,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
2,0.00014371945961483187,0.0,0.0,0.00014371945961483187,7.0,6958.0,0.5555555555555556,0,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_1_abundances_trial_000,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
3,8.225544428221844e-05,0.0,0.0,8.225544428221844e-05,4.0,6947.0,0.5555555555555556,1,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_1_abundances_trial_001,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
4,4.76250952501905e-05,0.0,0.0,4.76250952501905e-05,3.0,7874.0,0.6666666666666666,0,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_2_abundances_trial_000,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
5,0.00014276649746192894,0.0,0.0,0.00014276649746192894,9.0,7880.0,0.6666666666666666,1,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_2_abundances_trial_001,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
6,5.5303616856542424e-05,0.0,0.0,5.5303616856542424e-05,5.0,9041.0,1.0,0,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_3_abundances_trial_000,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
7,5.507214450930719e-05,0.0,0.0,5.507214450930719e-05,5.0,9079.0,1.0,1,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_3_abundances_trial_001,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
8,9.906188395890913e-05,0.0,0.0,9.906188395890913e-05,10.0,9177.0,1.1111111111111112,0,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_000,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
9,4.939637628183596e-05,0.0,0.0,4.939637628183596e-05,5.0,9202.0,1.1111111111111112,1,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_001,GUT_GENOME000472,G8-e003Coalescence-mBHI-p7_S125,A10-e003Coalescence-mBHI-p7,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_0_abundances_trial_000,0.4444444444444444
