,0
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,39
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,40
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,48
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,56
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,48
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,53
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,48
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,133
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,50
C_E5_A8_AA_AA_mGAM_mGAM_6_S245,49
D_A9_E8_AA_AA_mGAM_mBHI_4_S297,47
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,73
D_E9_E8_AA_AA_mGAM_mGAM_4_S345,55
A8-e003Coalescence-mGAM-p7,67
E8-e003Coalescence-mGAM-p5_S53,59
E8-e003Coalescence-mBHI-p3_S105,26
E8-e003Coalescence-mGAM-p7_S149,48
A2-e003Coalescence-Inoculumn-mGAM,54
B2-e003Coalescence-Inoculumn-mGAM,67
A3-e003Coalescence-Inoculumn-mGAM,95
C2-e003Coalescence-Inoculumn-mGAM,230
A5-e003Coalescence-Inoculumn-mGAM,58
D2-e003Coalescence-Inoculumn-mGAM,73
A4-e003Coalescence-Inoculumn-mGAM,45
E11-e003Coalescence-mGAM-p1_S840,48
A8-e003Coalescence-mBHI-p1_S748,48
E8-e003Coalescence-mBHI-p1_S812,50
D8-e003Coalescence-mGAM-p1_S755,69
E8-e003Coalescence-mGAM-p1_S816,144
A11-e003Coalescence-mGAM-p1_S776,117
E11-e003Coalescence-mBHI-p1_S836,47
H8-e003Coalescence-mGAM-p1_S819,64
A8-e003Coalescence-mGAM-p1_S752,39
A9-e003Coalescence-mGAM-p1_S760,91
Coalescence-C9-A8-AA-AA-mGAM-mGAM-5_S652,54
Coalescence-F1-D8-AA-AF-mGAM-mGAM-3_S680,122
Coalescence-F10-H8-AA-AF-mGAM-mGAM-3_S689,46
Coalescence-F3-E11-AA-AF-mGAM-mGAM-3_S682,108
B8-e003Assembly-mGAM-p5,220
B8-e003GlycerolRevival-mGAM-p2,70
D8-e003Assembly-mGAM-p3,249
D_B4_e003Assembly_S304,51
D_B5_e003Assembly_S305,63
D_B12_e003Assembly_S312,60
D_F5_e003Assembly_S353,70
C_E2_e003Assembly_S242,37
C_E10_E3_ACPP_AA_mBHI_mGAM_4_S250,48
