,0
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,33.0
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,52.0
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,89.0
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,86.0
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,16.0
B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,10.0
B_H6_H9_ACPP_AF_mGAM_mGAM_2_S186,4.0
C_E5_A8_AA_AA_mGAM_mGAM_6_S245,2.0
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,3.0
C_H4_D5_AF_AF_mBHI_mGAM_6_S280,3.0
C9-e003Coalescence-mGAM-p3,18.0
C9-e003Coalescence-mGAM-p7,2.0
B9-e003Coalescence-mGAM-p5,131.0
B8-e003Coalescence-mBHI-p5,28.0
B11-e003Coalescence-mGAM-p3,5.0
B10-e003Coalescence-mGAM-p3,14.0
A9-e003Coalescence-mGAM-p7,27.0
C9-e003Coalescence-mBHI-p3,4.0
A9-e003Coalescence-mBHI-p3,2.0
A9-e003Coalescence-mBHI-p5,8.0
B9-e003Coalescence-mGAM-p7,3.0
B9-e003Coalescence-mBHI-p5,58.0
B10-e003Coalescence-mGAM-p7,12.0
A9-e003Coalescence-mBHI-p7,11.0
B9-e003Coalescence-mBHI-p7,3.0
B8-e003Coalescence-mGAM-p5,4.0
B9-e003Coalescence-mBHI-p3,13.0
C9-e003Coalescence-mGAM-p5,6.0
B8-e003Coalescence-mGAM-p7,57.0
B8-e003Coalescence-mBHI-p7,7.0
A9-e003Coalescence-mGAM-p5,2.0
F8-e003Coalescence-mBHI-p3_S117,15.0
F100-e003Coalescence-mGAM-p7_S163,94.0
E9-e003Coalescence-mBHI-p5_S6,2.0
F9-e003Coalescence-mGAM-p5_S66,7.0
E9-e003Coalescence-mBHI-p7_S102,10.0
F8-e003Coalescence-mGAM-p5_S65,25.0
G9-e003Coalescence-mGAM-p5_S78,38.0
F9-e003Coalescence-mBHI-p3_S118,5.0
G9-e003Coalescence-mGAM-p7_S174,52.0
F9-e003Coalescence-mGAM-p7_S162,18.0
F8-e003Coalescence-mGAM-p7_S161,20.0
F100-e003Coalescence-mBHI-p7_S115,56.0
F100-e003Coalescence-mGAM-p3_S167,16.0
E9-e003Coalescence-mGAM-p3_S154,6.0
F111-e003Coalescence-mGAM-p3_S168,3.0
F8-e003Coalescence-mBHI-p7_S113,13.0
F100-e003Coalescence-mGAM-p5_S67,16.0
E111-e003Coalescence-mBHI-p7_S104,4.0
E9-e003Coalescence-mGAM-p5_S54,6.0
G9-e003Coalescence-mBHI-p3_S130,4.0
E9-e003Coalescence-mGAM-p7_S150,2.0
G9-e003Coalescence-mBHI-p5_S30,51.0
F111-e003Coalescence-mBHI-p7_S116,3.0
G9-e003Coalescence-mGAM-p3_S178,16.0
F8-e003Coalescence-mBHI-p5_S17,17.0
B5-e003Coalescence-Inoculumn-mGAM,19.0
B2-e003Coalescence-Inoculumn-mGAM,7.0
A3-e003Coalescence-Inoculumn-mGAM,5.0
B3-e003Coalescence-Inoculumn-mGAM,20.0
B4-e003Coalescence-Inoculumn-mGAM,24.0
B10-e003Coalescence-mGAM-p1_S769,20.0
B8-e003Coalescence-mBHI-p1_S749,46.0
B9-e003Coalescence-mGAM-p1_S761,14.0
E9-e003Coalescence-mBHI-p1_S820,3.0
F8-e003Coalescence-mGAM-p1_S817,16.0
H9-e003Coalescence-mGAM-p1_S827,10.0
F11-e003Coalescence-mBHI-p1_S837,12.0
B8-e003Coalescence-mGAM-p1_S753,16.0
H9-e003Coalescence-mBHI-p1_S823,18.0
C9-e003Coalescence-mBHI-p1_S758,15.0
F9-e003Coalescence-mBHI-p1_S821,9.0
F10-e003Coalescence-mBHI-p1_S829,8.0
F11-e003Coalescence-mGAM-p1_S841,3.0
D9-e003Coalescence-mGAM-p1_S763,9.0
C9-e003Coalescence-mGAM-p1_S762,29.0
A9-e003Coalescence-mBHI-p1_S756,90.0
G9-e003Coalescence-mBHI-p1_S822,7.0
B9-e003Coalescence-mBHI-p1_S757,118.0
F10-e003Coalescence-mGAM-p1_S833,22.0
B11-e003Coalescence-mBHI-p1_S773,11.0
E9-e003Coalescence-mGAM-p1_S824,16.0
F9-e003Coalescence-mGAM-p1_S825,19.0
D9-e003Coalescence-mBHI-p1_S759,7.0
A9-e003Coalescence-mGAM-p1_S760,37.0
B10-e003Coalescence-mBHI-p1_S765,7.0
G9-e003Coalescence-mGAM-p1_S826,34.0
Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691,351.0
Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,68.0
Coalescence-C10-B10-ACPP-AE-mGAM-mGAM-5_S653,6.0
Coalescence-B10-G9-ACPP-AE-mGAM-mBHI-7_S641,63.0
Coalescence-E2-B8-AA-ACPP-mGAM-mGAM-3_S669,3.0
Coalescence-D10-A9-AA-ACPP-mGAM-mGAM-3_S665,2.0
Coalescence-F5-F10-ACPP-AE-mGAM-mBHI-3_S684,137.0
B9-e003Assembly-mGAM-p5,5.0
B9-e003GlycerolRevival-mGAM-p2,6.0
C4-e003Assembly-mBHI-p5,7.0
C4-e003GlycerolRevival-mBHI-p2,10.0
C5-e003Assembly-mBHI-p3,2.0
Assembly-G4-B9-ACPP-mGAM-3_S695,2.0
Assembly-G3-B5-AF-mBHI-3_S694,3.0
C_F4_e003Assembly_6_S256,201.0
C_F8_e003Assembly_6_S260,21.0
