,0.975,0.975
e004-inoculumn-fecal-BD,,0.9249999999999998
A4-e003Coalescence-mBHI-inoculumn-redo,,1.0
C4-e003Coalescence-mGAM-p7,,1.0
e004-inoculumn-fecal-AK,,0.9531249999999999
B4-e003Assembly-mBHI-p5,,
B10-e003Assembly-mGAM-p5,,1.0
C4-e003Coalescence-mBHI-inoculumn-redo,,1.0
E5-e004Assembly-mGAM-p5,,0.975
BB-Fecal,,0.0
E5-e004Assembly-mGAM-p7,,0.975
C4-e003Coalescence-mGAM-p5,,1.0
C5-e003Coalescence-mBHI-inoculumn-redo,,1.0
BF-Fecal,,0.966
AM-Fecal,,1.0
e003-inoculumn-fecal-inoculumn,,
C4-e003Coalescence-mGAM-p3,,1.0
C10-e003GlycerolRevival-mGAM-p2,,1.0
BG-Fecal,,0.9249999999999998
C10-e003Coalescence-mGAM-p3,,1.0
C3-e003Coalescence-Inoculumn-mGAM,,1.0
D4-e003Coalescence-Inoculumn-mBHI,,1.0
D5-e004Assembly-mGAM-p3,,0.95
C2-e003Coalescence-Inoculumn-mGAM,,1.0
B4-e003Coalescence-Inoculumn-mGAM,,1.0
C4-e003Coalescence-Inoculumn-mGAM,,0.76585
B10-e003Assembly-mGAM-p3,,1.0
B10-e003GlycerolRevival-mGAM-p2,,1.0
C2-e003Coalescence-mBHI-inoculumn-redo,,1.0
C10-e003Coalescence-mGAM-p5,,1.0
C3-e003Coalescence-mBHI-inoculumn-redo,,1.0
e004-inoculumn-fecal-AR,,0.0
BK-Fecal,,0.9343749999999998
B4-e003Coalescence-Inoculumn-mBHI,,1.0
e003-inoculumn-fecal-AE,,0.991
C5-e003Coalescence-Inoculumn-mGAM,,1.0
BC-Fecal,,0.984475
e004-inoculumn-fecal-BE,,0.9249999999999998
BA-Fecal,,0.9399999999999998
e003-inoculumn-fecal-AF,,0.95
A4-e003Coalescence-Inoculumn-mGAM,,1.0
C10-e003Coalescence-mGAM-p7,,1.0
G100-e003Coalescence-mGAM-p3_S179,,1.0
G100-e003Coalescence-mGAM-p7_S175,,1.0
G4-e003Coalescence-mGAM-p5_S75,,1.0
G4-e003Coalescence-mGAM-p3_S83,,1.0
G4-e003Coalescence-mGAM-p7_S171,,1.0
G3-e003Coalescence-mGAM-p5_S74,,0.95
G100-e003Coalescence-mGAM-p5_S79,,0.98635
