,0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_5_theta_2_abundances_trial_000,6.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_5_theta_2_abundances_trial_001,6.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_8_theta_1_abundances_trial_000,5.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_8_theta_1_abundances_trial_001,5.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_6_theta_4_abundances_trial_000,8.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_6_theta_4_abundances_trial_001,8.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_000,4.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_0_abundances_trial_001,4.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_4_theta_0_abundances_trial_000,5.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_4_theta_0_abundances_trial_001,5.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_000,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_001,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_3_theta_4_abundances_trial_000,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_3_theta_4_abundances_trial_001,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_9_theta_4_abundances_trial_000,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_9_theta_4_abundances_trial_001,9.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_8_theta_3_abundances_trial_000,8.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_8_theta_3_abundances_trial_001,8.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_5_theta_4_abundances_trial_000,11.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_5_theta_4_abundances_trial_001,11.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_7_theta_3_abundances_trial_000,9.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_7_theta_3_abundances_trial_001,9.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_6_theta_0_abundances_trial_000,4.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_6_theta_0_abundances_trial_001,4.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_4_theta_3_abundances_trial_000,8.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_4_theta_3_abundances_trial_001,8.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_12_theta_2_abundances_trial_000,7.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_12_theta_2_abundances_trial_001,7.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_8_theta_4_abundances_trial_000,10.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_8_theta_4_abundances_trial_001,10.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_9_theta_1_abundances_trial_000,6.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_9_theta_1_abundances_trial_001,6.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_2_abundances_trial_000,7.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_2_abundances_trial_001,7.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_000,11.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_0_theta_4_abundances_trial_001,11.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_2_theta_2_abundances_trial_000,6.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_2_theta_2_abundances_trial_001,6.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_0_theta_5_abundances_trial_000,28.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_0_theta_5_abundances_trial_001,28.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_4_abundances_trial_000,10.0
GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_strain_11_theta_4_abundances_trial_001,10.0
GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_strain_5_theta_0_abundances_trial_000,4.0
