,0
e004-inoculumn-fecal-BD,4.0
B9-e003Coalescence-mGAM-p5,5.0
A4-e003Coalescence-mBHI-inoculumn-redo,6.0
C2-e003Coalescence-mBHI-p5,4.0
B5-e004Assembly-mBHI-p7,4.0
C4-e003GlycerolRevival-mBHI-p2,4.0
C4-e003Coalescence-mGAM-p7,6.0
e004-inoculumn-fecal-AK,15.0
C3-e003Coalescence-mGAM-p3,9.0
B4-e003Assembly-mBHI-p5,4.0
D3-e003Coalescence-Inoculumn-mBHI,6.0
C2-e003Coalescence-mGAM-p7,5.0
B11-e003Coalescence-mGAM-p3,4.0
C4-e003Coalescence-mBHI-inoculumn-redo,5.0
D2-e003Coalescence-mBHI-p5,4.0
A5-e003Coalescence-mGAM-p3,4.0
C2-e003Coalescence-mBHI-p3,4.0
B4-e003Coalescence-mGAM-p5,6.0
D4-e003Coalescence-mGAM-p5,6.0
BB-Fecal,11.0
B5-e003Coalescence-Inoculumn-mBHI,4.0
F2-e004Assembly-epsilon-p3,4.0
C4-e003Coalescence-mGAM-p5,4.0
C5-e003Coalescence-mBHI-inoculumn-redo,9.0
A2-e003Coalescence-mBHI-p7,5.0
BF-Fecal,25.0
AM-Fecal,90.0
e003-inoculumn-fecal-inoculumn,22.0
e003-inoculumn-fecal-AC,46.0
C4-e003Coalescence-mGAM-p3,36.0
C5-e003Coalescence-mBHI-p5,4.0
C5-e003Coalescence-mGAM-p3,10.0
A3-e003Coalescence-mBHI-inoculumn-redo,4.0
C3-e003Coalescence-mGAM-p5,4.0
A2-e003Coalescence-Inoculumn-mBHI,18.0
D5-e003Coalescence-Inoculumn-mBHI,6.0
G4-e004Assembly-epsilon-p3,7.0
B3-e003Coalescence-Inoculumn-mBHI,5.0
A5-e003Coalescence-mBHI-p7,5.0
G2-e004Assembly-epsilon-p3,5.0
BG-Fecal,12.0
D2-e003Coalescence-mGAM-p5,6.0
D3-e003Coalescence-mGAM-p5,4.0
A5-e003Coalescence-mBHI-inoculumn-redo,16.0
D2-e003Assembly-mBHI-p5,5.0
D4-e003Coalescence-Inoculumn-mBHI,4.0
F4-e004Assembly-epsilon-p3,5.0
A2-e003Coalescence-mGAM-p7,4.0
B3-e003Coalescence-Inoculumn-mGAM,4.0
D5-e003Coalescence-mGAM-p3,4.0
D2-e003Coalescence-Inoculumn-mBHI,6.0
F4-e004Assembly-epsilon-p7,4.0
A2-e003Coalescence-mGAM-p5,4.0
C3-e003Coalescence-mGAM-p7,6.0
C5-e004Assembly-mBHI-p7,5.0
C5-e003Coalescence-mBHI-p7,6.0
A2-e003Coalescence-mBHI-p3,5.0
C2-e003Coalescence-mBHI-inoculumn-redo,7.0
B2-e003Coalescence-Inoculumn-mBHI,4.0
C4-e003Assembly-mBHI-p5,4.0
AG-Fecal,249.0
A2-e003Coalescence-mBHI-p5,6.0
C3-e003Coalescence-mBHI-inoculumn-redo,6.0
e004-inoculumn-fecal-AR,75.0
BK-Fecal,16.0
A2-e003Coalescence-mBHI-inoculumn-redo,20.0
B4-e003Coalescence-Inoculumn-mBHI,5.0
e003-inoculumn-fecal-AE,26.0
C4-e003Coalescence-mBHI-p5,4.0
BC-Fecal,12.0
e004-inoculumn-fecal-BE,18.0
BA-Fecal,9.0
e003-inoculumn-fecal-AF,10.0
A5-e003Coalescence-Inoculumn-mBHI,8.0
E2-e003Coalescence-mGAM-p7_S145,4.0
G5-e003Coalescence-mBHI-p7_S124,5.0
H4-e003Coalescence-mGAM-p7_S183,9.0
H2-e003Coalescence-mBHI-p7_S133,4.0
E5-e003Coalescence-mBHI-p3_S12,4.0
H2-e003Coalescence-mGAM-p7_S181,16.0
H4-e003Coalescence-mGAM-p3_S95,4.0
E5-e003Coalescence-mBHI-p7_S100,4.0
E5-e003Coalescence-mBHI-p5_S4,4.0
E2-e003Coalescence-mBHI-p5_S1,8.0
E2-e003Coalescence-mBHI-p3_S9,7.0
H2-e003Coalescence-mGAM-p3_S93,4.0
G5-e003Coalescence-mGAM-p3_S84,6.0
G5-e003Coalescence-mGAM-p7_S172,5.0
E5-e003Coalescence-mGAM-p3_S60,4.0
E5-e003Coalescence-mGAM-p7_S148,15.0
G4-e003Coalescence-mGAM-p3_S83,12.0
F4-e003Coalescence-mGAM-p5_S63,4.0
H4-e003Coalescence-mBHI-p7_S135,4.0
G3-e003Coalescence-mGAM-p3_S82,10.0
E2-e003Coalescence-mGAM-p3_S57,4.0
G3-e003Coalescence-mGAM-p5_S74,8.0
E4-e003Coalescence-mGAM-p7_S147,4.0
F4-e003Coalescence-mGAM-p7_S159,6.0
H4-e003Coalescence-mGAM-p5_S87,5.0
