,0
C12-e003Coalescence-mBHI-p3,43.0
C9-e003Coalescence-mGAM-p3,50.0
C11-e003Coalescence-mBHI-p3,71.0
D11-e003Coalescence-mBHI-p5,131.0
C9-e003Coalescence-mGAM-p7,29.0
D10-e003Coalescence-mBHI-p3,140.0
F3-e004Assembly-epsilon-p3,5.0
B2-e003Coalescence-mBHI-p3,4.0
A4-e003Coalescence-mBHI-p7,166.0
B4-e003Coalescence-mBHI-p5,8.0
B9-e003Coalescence-mGAM-p5,297.0
D4-e003Coalescence-mBHI-p5,114.0
B3-e004Assembly-mBHI-p7,48.0
D4-e003Coalescence-mBHI-p3,40.0
C3-e004Assembly-mBHI-p5,48.0
F4-e004Assembly-epsilon-p5,12.0
B12-e003Coalescence-mBHI-p3,56.0
C3-e003Coalescence-mGAM-p3,38.0
D3-e003Coalescence-Inoculumn-mBHI,134.0
D11-e003Coalescence-mGAM-p5,9.0
A11-e003Coalescence-mGAM-p7,5.0
B8-e003Coalescence-mBHI-p5,298.0
D3-e003Coalescence-mBHI-p5,166.0
B11-e003Coalescence-mGAM-p3,261.0
B5-e003Assembly-mBHI-p5,69.0
D2-e003Coalescence-mBHI-p5,151.0
D5-e003Coalescence-mGAM-p5,120.0
B5-e003Coalescence-mBHI-p5,183.0
D5-e003Coalescence-mBHI-p7,186.0
C9-e003Coalescence-mBHI-p5,113.0
A5-e003Coalescence-mGAM-p3,63.0
D8-e003Coalescence-mGAM-p5,17.0
A12-e003Coalescence-mGAM-p3,9.0
D9-e003Coalescence-mGAM-p7,173.0
D4-e003Coalescence-mBHI-p7,46.0
D2-e004Assembly-mGAM-p3,4.0
B10-e003Coalescence-mGAM-p3,48.0
A9-e003Coalescence-mGAM-p7,67.0
B5-e003Coalescence-Inoculumn-mGAM,68.0
D10-e003Coalescence-mBHI-p5,94.0
D5-e003Coalescence-mBHI-p3,92.0
C5-e003Coalescence-mBHI-p3,68.0
D9-e003Coalescence-mGAM-p5,17.0
C9-e003Coalescence-mBHI-p3,238.0
D10-e003Coalescence-mGAM-p5,42.0
B11-e003Assembly-mGAM-p5,29.0
B4-e003Coalescence-mGAM-p5,98.0
D4-e003Coalescence-mGAM-p5,311.0
C3-e004Assembly-mBHI-p7,160.0
B5-e003Coalescence-mGAM-p5,20.0
B5-e003Coalescence-Inoculumn-mBHI,67.0
B5-e003Coalescence-mGAM-p7,13.0
D8-e003Coalescence-mBHI-p5,181.0
B10-e003Coalescence-mBHI-p5,130.0
D5-e003Coalescence-Inoculumn-mGAM,44.0
B3-e004Assembly-mBHI-p5,22.0
B5-e003Coalescence-mBHI-p3,223.0
G4-e004Assembly-epsilon-p5,4.0
C5-e003Coalescence-mGAM-p7,9.0
C5-e003Coalescence-mBHI-inoculumn-redo,126.0
D2-e003Coalescence-mBHI-p7,4.0
A4-e003Coalescence-mGAM-p5,389.0
D5-e003Coalescence-mBHI-p5,85.0
D4-e003Coalescence-mGAM-p7,19.0
B9-e003GlycerolRevival-mGAM-p2,28.0
B2-e003Coalescence-Inoculumn-mGAM,36.0
C5-e003Coalescence-mBHI-p5,339.0
C5-e003Coalescence-mGAM-p3,233.0
B12-e003Coalescence-mGAM-p3,36.0
A11-e003Coalescence-mBHI-p7,26.0
A3-e003Coalescence-Inoculumn-mGAM,22.0
C3-e003Coalescence-mGAM-p5,31.0
A9-e003Coalescence-mBHI-p3,180.0
D3-e003Coalescence-mBHI-p7,40.0
A9-e003Coalescence-mBHI-p5,126.0
D5-e003Coalescence-Inoculumn-mBHI,321.0
C11-e003Coalescence-mGAM-p5,18.0
G4-e004Assembly-epsilon-p3,16.0
D9-e003Coalescence-mBHI-p3,17.0
D5-e003Assembly-mBHI-p5,24.0
A5-e003Coalescence-mBHI-p7,298.0
D2-e003Coalescence-mGAM-p5,211.0
B9-e003Assembly-mGAM-p5,24.0
D3-e003Coalescence-mGAM-p3,142.0
D9-e003Coalescence-mGAM-p3,11.0
E2-e004Assembly-mGAM-p7,8.0
D3-e003Coalescence-mGAM-p5,294.0
A5-e003Coalescence-mBHI-inoculumn-redo,125.0
B9-e003Coalescence-mGAM-p7,15.0
B11-e003Coalescence-mGAM-p7,8.0
C3-e003Coalescence-Inoculumn-mGAM,7.0
B5-e003Coalescence-mBHI-p7,241.0
D4-e003Coalescence-Inoculumn-mBHI,49.0
A4-e003Coalescence-mBHI-p5,149.0
D10-e003Coalescence-mGAM-p7,58.0
C12-e003Coalescence-mGAM-p3,8.0
C11-e003Coalescence-mGAM-p3,41.0
B9-e003Coalescence-mBHI-p5,346.0
F4-e004Assembly-epsilon-p3,14.0
B10-e003Coalescence-mBHI-p3,105.0
C11-e003Coalescence-mBHI-p5,184.0
C5-e003Assembly-mBHI-p3,9.0
E3-e004Assembly-mGAM-p5,28.0
E2-e004Assembly-mGAM-p5,7.0
D10-e003Coalescence-mGAM-p3,19.0
B10-e003Coalescence-mGAM-p7,32.0
A9-e003Coalescence-mBHI-p7,374.0
B3-e003Coalescence-Inoculumn-mGAM,100.0
D11-e003Coalescence-mGAM-p7,358.0
D5-e003Coalescence-mGAM-p3,206.0
D2-e003Coalescence-Inoculumn-mBHI,45.0
B4-e003Coalescence-Inoculumn-mGAM,85.0
F4-e004Assembly-epsilon-p7,10.0
D9-e003Coalescence-mBHI-p5,181.0
D4-e003Coalescence-mGAM-p3,69.0
B9-e003Coalescence-mBHI-p7,45.0
D11-e003Assembly-mGAM-p5,13.0
C3-e003Coalescence-mGAM-p7,80.0
B11-e003GlycerolRevival-mGAM-p2,16.0
D9-e003Coalescence-mBHI-p7,152.0
C5-e003Coalescence-mBHI-p7,431.0
D12-e003Coalescence-mBHI-p3,22.0
C11-e003Coalescence-mGAM-p7,15.0
D10-e003Coalescence-mBHI-p7,52.0
C9-e003Coalescence-mBHI-p7,31.0
B8-e003Coalescence-mGAM-p5,23.0
C3-e004Assembly-mBHI-p3,16.0
C11-e003GlycerolRevival-mGAM-p2,16.0
A11-e003Coalescence-mBHI-p5,95.0
A5-e003Coalescence-Inoculumn-mGAM,20.0
D4-e003Coalescence-Inoculumn-mGAM,5.0
G2-e004Assembly-epsilon-p5,4.0
C5-e003Assembly-mBHI-p5,17.0
B9-e003Coalescence-mBHI-p3,137.0
B5-e003Coalescence-mGAM-p3,88.0
F2-e004Assembly-epsilon-p5,4.0
A5-e003Coalescence-mBHI-p3,46.0
A4-e003Coalescence-mBHI-p3,73.0
B2-e004Assembly-mBHI-p7,5.0
F3-e004Assembly-epsilon-p5,5.0
C9-e003Coalescence-mGAM-p5,43.0
B8-e003Coalescence-mGAM-p7,131.0
D2-e003Coalescence-Inoculumn-mGAM,19.0
B8-e003Coalescence-mBHI-p7,129.0
B3-e004Assembly-mBHI-p3,27.0
D3-e003Coalescence-Inoculumn-mGAM,6.0
B11-e003Coalescence-mBHI-p3,143.0
C5-e003Coalescence-Inoculumn-mGAM,35.0
B2-e004Assembly-mBHI-p3,4.0
G3-e004Assembly-epsilon-p5,8.0
A11-e003Coalescence-mBHI-p3,597.0
B2-e004Assembly-mBHI-p5,24.0
B4-e003Coalescence-mBHI-p3,83.0
A5-e003Coalescence-Inoculumn-mBHI,55.0
A9-e003Coalescence-mGAM-p5,23.0
A11-e003Coalescence-mGAM-p3,29.0
D2-e003Coalescence-mBHI-p3,169.0
C5-e003GlycerolRevival-mBHI-p2,4.0
H5-e003Coalescence-mBHI-p5_S40,98.0
G5-e003Coalescence-mBHI-p7_S124,322.0
H111-e003Coalescence-mGAM-p7_S188,116.0
H4-e003Coalescence-mGAM-p7_S183,485.0
F5-e003Coalescence-mGAM-p5_S64,192.0
F5-e003Coalescence-mGAM-p7_S160,117.0
F8-e003Coalescence-mBHI-p3_S117,141.0
H3-e003Coalescence-mBHI-p3_S46,74.0
H2-e003Coalescence-mBHI-p7_S133,228.0
E5-e003Coalescence-mBHI-p3_S12,163.0
F100-e003Coalescence-mGAM-p7_S163,255.0
F9-e003Coalescence-mBHI-p5_S18,65.0
H3-e003Coalescence-mBHI-p7_S134,202.0
E9-e003Coalescence-mBHI-p5_S6,157.0
H111-e003Coalescence-mBHI-p3_S144,490.0
G111-e003Coalescence-mGAM-p5_S80,21.0
F111-e003Coalescence-mGAM-p5_S68,5.0
G111-e003Coalescence-mBHI-p5_S32,198.0
G5-e003Coalescence-mBHI-p3_S36,80.0
H2-e003Coalescence-mGAM-p7_S181,522.0
H9-e003Coalescence-mGAM-p3_S190,16.0
H2-e003Coalescence-mGAM-p5_S85,24.0
H3-e003Coalescence-mGAM-p3_S94,100.0
H4-e003Coalescence-mGAM-p3_S95,47.0
E5-e003Coalescence-mBHI-p7_S100,114.0
G111-e003Coalescence-mBHI-p3_S132,6.0
F9-e003Coalescence-mGAM-p5_S66,32.0
G111-e003Coalescence-mGAM-p7_S176,6.0
H100-e003Coalescence-mGAM-p7_S187,20.0
F5-e003Coalescence-mGAM-p3_S72,13.0
E9-e003Coalescence-mBHI-p7_S102,135.0
E5-e003Coalescence-mBHI-p5_S4,194.0
F111-e003Coalescence-mGAM-p7_S164,35.0
E111-e003Coalescence-mBHI-p5_S8,139.0
H100-e003Coalescence-mBHI-p5_S43,243.0
F5-e003Coalescence-mBHI-p5_S16,183.0
F8-e003Coalescence-mGAM-p5_S65,61.0
H8-e003Coalescence-mBHI-p7_S137,408.0
G9-e003Coalescence-mGAM-p5_S78,86.0
G3-e003Coalescence-mBHI-p3_S34,22.0
F9-e003Coalescence-mBHI-p3_S118,26.0
E111-e003Coalescence-mBHI-p3_S108,94.0
G3-e003Coalescence-mBHI-p5_S26,450.0
G5-e003Coalescence-mBHI-p5_S28,107.0
H111-e003Coalescence-mGAM-p5_S92,87.0
H9-e003Coalescence-mGAM-p5_S90,58.0
H2-e003Coalescence-mBHI-p3_S45,117.0
E8-e003Coalescence-mBHI-p7_S101,61.0
E4-e003Coalescence-mBHI-p5_S3,228.0
H2-e003Coalescence-mGAM-p3_S93,66.0
E4-e003Coalescence-mGAM-p5_S51,63.0
G9-e003Coalescence-mGAM-p7_S174,173.0
F9-e003Coalescence-mBHI-p7_S114,4.0
G111-e003Coalescence-mGAM-p3_S180,69.0
G5-e003Coalescence-mGAM-p3_S84,127.0
H8-e003Coalescence-mBHI-p5_S41,278.0
F9-e003Coalescence-mGAM-p7_S162,47.0
F8-e003Coalescence-mGAM-p7_S161,53.0
G3-e003Coalescence-mBHI-p7_S122,467.0
G5-e003Coalescence-mGAM-p5_S76,26.0
G5-e003Coalescence-mGAM-p7_S172,318.0
E5-e003Coalescence-mGAM-p3_S60,13.0
E5-e003Coalescence-mGAM-p7_S148,405.0
H9-e003Coalescence-mGAM-p7_S186,142.0
H5-e003Coalescence-mGAM-p3_S96,88.0
F4-e003Coalescence-mBHI-p7_S111,160.0
H3-e003Coalescence-mGAM-p7_S182,131.0
H5-e003Coalescence-mGAM-p5_S88,134.0
H8-e003Coalescence-mGAM-p5_S89,19.0
F100-e003Coalescence-mBHI-p7_S115,250.0
F100-e003Coalescence-mGAM-p3_S167,39.0
E9-e003Coalescence-mGAM-p3_S154,34.0
H4-e003Coalescence-mBHI-p7_S135,247.0
G111-e003Coalescence-mBHI-p7_S128,102.0
H3-e003Coalescence-mBHI-p5_S38,250.0
G3-e003Coalescence-mGAM-p3_S82,140.0
F111-e003Coalescence-mGAM-p3_S168,27.0
F8-e003Coalescence-mBHI-p7_S113,123.0
H4-e003Coalescence-mBHI-p3_S47,12.0
F100-e003Coalescence-mGAM-p5_S67,28.0
F4-e003Coalescence-mBHI-p5_S15,27.0
H111-e003Coalescence-mBHI-p5_S44,222.0
E111-e003Coalescence-mBHI-p7_S104,99.0
F4-e003Coalescence-mBHI-p3_S23,35.0
E9-e003Coalescence-mGAM-p5_S54,27.0
G3-e003Coalescence-mGAM-p5_S74,131.0
E111-e003Coalescence-mGAM-p5_S56,9.0
H100-e003Coalescence-mGAM-p5_S91,9.0
G9-e003Coalescence-mBHI-p3_S130,46.0
E4-e003Coalescence-mGAM-p7_S147,131.0
H4-e003Coalescence-mBHI-p5_S39,319.0
H100-e003Coalescence-mBHI-p7_S139,403.0
G8-e003Coalescence-mGAM-p7_S173,4.0
E4-e003Coalescence-mBHI-p3_S11,119.0
H9-e003Coalescence-mBHI-p5_S42,214.0
H111-e003Coalescence-mGAM-p3_S192,86.0
F5-e003Coalescence-mBHI-p3_S24,214.0
E9-e003Coalescence-mGAM-p7_S150,6.0
H5-e003Coalescence-mBHI-p7_S136,98.0
G9-e003Coalescence-mBHI-p5_S30,192.0
F111-e003Coalescence-mBHI-p7_S116,106.0
F5-e003Coalescence-mBHI-p7_S112,54.0
F111-e003Coalescence-mBHI-p3_S120,109.0
H3-e003Coalescence-mGAM-p5_S86,100.0
E4-e003Coalescence-mBHI-p7_S99,73.0
H4-e003Coalescence-mGAM-p5_S87,141.0
G9-e003Coalescence-mGAM-p3_S178,70.0
H9-e003Coalescence-mBHI-p7_S138,85.0
H8-e003Coalescence-mGAM-p7_S185,193.0
F111-e003Coalescence-mBHI-p5_S20,55.0
F8-e003Coalescence-mBHI-p5_S17,161.0
E5-e003Coalescence-mGAM-p5_S52,13.0
