,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances_trial_000,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances_trial_000
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances_trial_001,0,20133
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_10_abundances_trial_000,0,19572
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_10_abundances_trial_001,0,19453
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_11_abundances_trial_000,0,19602
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_11_abundances_trial_001,0,19463
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances_trial_001,0,19476
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_1_abundances_trial_000,0,20119
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_1_abundances_trial_001,0,20199
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances_trial_000,0,20199
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances_trial_001,0,20120
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances_trial_000,0,20072
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances_trial_001,0,20120
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_4_abundances_trial_000,0,20093
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_4_abundances_trial_001,0,20108
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_5_abundances_trial_000,0,19476
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_5_abundances_trial_001,0,19497
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances_trial_000,0,17956
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances_trial_001,0,17879
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_7_abundances_trial_000,0,18894
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_7_abundances_trial_001,0,18824
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_8_abundances_trial_000,0,19413
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_8_abundances_trial_001,0,19500
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances_trial_000,0,19542
GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances_trial_001,0,19585
