,0
D11-e003Coalescence-mBHI-p5,175
F3-e004Assembly-epsilon-p3,360
e004-inoculumn-fecal-BD,61
D3-e003Coalescence-Inoculumn-mBHI,229
D11-e003Coalescence-mGAM-p5,131
A11-e003Coalescence-mGAM-p7,139
B11-e003Coalescence-mGAM-p3,202
D8-e003Coalescence-mGAM-p5,134
A12-e003Coalescence-mGAM-p3,118
D9-e003Coalescence-mGAM-p7,142
B5-e003Coalescence-Inoculumn-mGAM,169
D9-e003Coalescence-mGAM-p5,309
D10-e003Coalescence-mGAM-p5,360
B11-e003Assembly-mGAM-p5,155
G3-e004Assembly-epsilon-p7,345
C3-e004Assembly-mBHI-p7,295
G3-e004Assembly-epsilon-p3,356
D8-e003Coalescence-mBHI-p5,410
D5-e003Coalescence-Inoculumn-mGAM,146
BF-Fecal,18752
AM-Fecal,616
B12-e003Coalescence-mGAM-p3,230
D5-e003Coalescence-Inoculumn-mBHI,301
C11-e003Coalescence-mGAM-p5,157
D9-e003Coalescence-mGAM-p3,185
D3-e003Coalescence-mGAM-p5,128
B11-e003Assembly-mGAM-p3,290
B11-e003Coalescence-mGAM-p7,170
D4-e003Coalescence-Inoculumn-mBHI,175
D10-e003Coalescence-mGAM-p7,403
C12-e003Coalescence-mGAM-p3,170
C11-e003Coalescence-mGAM-p3,158
D10-e003Coalescence-mGAM-p3,169
D11-e003Coalescence-mGAM-p7,138
B11-e003GlycerolRevival-mGAM-p2,141
C11-e003Coalescence-mGAM-p7,196
A5-e003Coalescence-Inoculumn-mGAM,204
D4-e003Coalescence-Inoculumn-mGAM,199
e004-inoculumn-fecal-AR,220
F3-e004Assembly-epsilon-p5,203
D2-e003Coalescence-Inoculumn-mGAM,218
D3-e003Coalescence-Inoculumn-mGAM,171
C5-e003Coalescence-Inoculumn-mGAM,205
G3-e004Assembly-epsilon-p5,311
BC-Fecal,63
e003-inoculumn-fecal-AF,2525
A11-e003Coalescence-mBHI-p3,383
F3-e004Assembly-epsilon-p7,257
A11-e003Coalescence-mGAM-p3,135
H111-e003Coalescence-mGAM-p7_S188,125
F5-e003Coalescence-mGAM-p5_S64,167
E111-e003Coalescence-mGAM-p7_S152,81
H111-e003Coalescence-mBHI-p3_S144,402
G111-e003Coalescence-mGAM-p5_S80,163
F111-e003Coalescence-mGAM-p5_S68,165
H9-e003Coalescence-mGAM-p3_S190,242
G111-e003Coalescence-mGAM-p7_S176,138
H100-e003Coalescence-mGAM-p7_S187,295
F5-e003Coalescence-mGAM-p3_S72,99
F111-e003Coalescence-mGAM-p7_S164,188
E111-e003Coalescence-mBHI-p5_S8,153
E111-e003Coalescence-mBHI-p3_S108,87
H111-e003Coalescence-mGAM-p5_S92,111
H9-e003Coalescence-mGAM-p5_S90,202
H2-e003Coalescence-mGAM-p3_S93,91
G111-e003Coalescence-mGAM-p3_S180,163
H8-e003Coalescence-mBHI-p5_S41,68
H9-e003Coalescence-mGAM-p7_S186,301
H8-e003Coalescence-mGAM-p5_S89,96
F111-e003Coalescence-mGAM-p3_S168,149
H111-e003Coalescence-mBHI-p5_S44,73
E111-e003Coalescence-mBHI-p7_S104,264
E111-e003Coalescence-mGAM-p5_S56,121
H100-e003Coalescence-mGAM-p5_S91,295
H111-e003Coalescence-mGAM-p3_S192,137
H8-e003Coalescence-mGAM-p7_S185,119
