,0.025,0.025
D11-e003Coalescence-mBHI-p5,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.66125,0.3932
D10-e003Coalescence-mBHI-p3,0.09825,0.47585
A8-e003Coalescence-mBHI-p3,0.028875000000000005,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.3575,0.037500000000000006
D10-e003Assembly-mGAM-p5,1.0,0.5817249999999999
C4-e003Coalescence-mGAM-p7,0.62875,0.26825
D3-e004Assembly-mGAM-p7,0.0,0.0
C3-e003Coalescence-mGAM-p3,0.685125,0.3822
B4-e003Assembly-mBHI-p5,0.23725,0.4423
D4-e004Assembly-mGAM-p5,0.0333,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.2344,0.0
D11-e003Coalescence-mGAM-p5,0.0,0.0
A11-e003Coalescence-mGAM-p7,0.0,0.0
B10-e003Assembly-mGAM-p5,1.0,
C2-e003Coalescence-mGAM-p7,0.55515,0.3614
B11-e003Coalescence-mGAM-p3,0.0,0.0
C4-e003Coalescence-mBHI-inoculumn-redo,0.3096,1.0
D8-e003Assembly-mGAM-p5,0.025,
D5-e003Coalescence-mGAM-p5,0.0,0.0
A5-e003Coalescence-mGAM-p3,0.0,0.0
A2-e003Coalescence-Inoculumn-mGAM,0.03585000000000001,0.0
E5-e004Assembly-mGAM-p5,0.0,0.007925
D8-e003Coalescence-mGAM-p5,0.0,0.0
A12-e003Coalescence-mGAM-p3,0.010200000000000002,0.0
E4-e004Assembly-mGAM-p7,0.0,0.0
E3-e004Assembly-mGAM-p3,0.0,0.0
D5-e004Assembly-mGAM-p5,0.0,0.0
B5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D10-e003Coalescence-mBHI-p5,,1.0
D10-e003Coalescence-mGAM-p5,0.5175500000000001,0.1993
B11-e003Assembly-mGAM-p5,0.0,0.0
B4-e003Coalescence-mGAM-p5,0.4763,0.409675
D4-e003Coalescence-mGAM-p5,0.0,0.0
B5-e003Coalescence-mGAM-p5,0.0,0.0
B5-e003Coalescence-Inoculumn-mBHI,0.3,0.30165
C2-e003Coalescence-mGAM-p3,0.434325,0.5817249999999999
B5-e003Coalescence-mGAM-p7,0.0,0.0
E5-e004Assembly-mGAM-p7,0.0,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
C4-e003Coalescence-mGAM-p5,0.6282,0.589
C5-e003Coalescence-mGAM-p7,0.0,0.0
