,sample,diversity
0,e004-inoculumn-fecal-BD,0.009188295986620399
1,BB-Fecal,0.0021898042380551095
2,BF-Fecal,0.008712700617185183
3,AM-Fecal,0.012132340403382279
4,e003-inoculumn-fecal-inoculumn,0.005516183840988223
5,e003-inoculumn-fecal-AC,0.007101449170460114
6,BG-Fecal,0.0021883576691597607
7,B4-e003Coalescence-Inoculumn-mGAM,0.005098971264056945
8,AG-Fecal,0.00011917281123712038
9,e004-inoculumn-fecal-AR,0.007483908343708308
10,BK-Fecal,0.007341393416334393
11,e003-inoculumn-fecal-AE,0.0023119324199237807
12,BC-Fecal,0.0008783588685591609
13,e004-inoculumn-fecal-BE,0.007940732126379677
14,BA-Fecal,0.008555229286025923
15,e003-inoculumn-fecal-AF,0.011686832227185156
