,0.975,0.975
B3-e003Coalescence-Inoculumn-mGAM,0.8809,0.7961
D5-e003Coalescence-Inoculumn-mGAM,0.7484999999999999,0.9466
B11-e003Coalescence-mBHI-p3,0.8895500000000001,0.898925
B11-e003Coalescence-mGAM-p3,0.8974,0.8388749999999999
B11-e003Coalescence-mGAM-p7,0.975,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.9205500000000001,0.876475
D3-e003Coalescence-Inoculumn-mGAM,1.0,0.989275
D9-e003Coalescence-mBHI-p3,1.0,0.777675
D9-e003Coalescence-mBHI-p5,0.87645,0.818275
D9-e003Coalescence-mBHI-p7,0.9005500000000001,0.8154
D9-e003Coalescence-mGAM-p3,1.0,1.0
D9-e003Coalescence-mGAM-p5,1.0,0.847625
D9-e003Coalescence-mGAM-p7,0.9176000000000001,0.8252750000000001
F111-e003Coalescence-mBHI-p3_S120,0.84625,0.86055
F111-e003Coalescence-mBHI-p5_S20,0.9927,0.870375
F111-e003Coalescence-mBHI-p7_S116,0.9936,0.88705
F111-e003Coalescence-mGAM-p3_S168,0.77125,0.897325
F111-e003Coalescence-mGAM-p5_S68,,1.0
F111-e003Coalescence-mGAM-p7_S164,1.0,0.996875
H9-e003Coalescence-mBHI-p5_S42,0.8513999999999999,0.8573999999999999
H9-e003Coalescence-mBHI-p7_S138,0.9238000000000001,0.805825
H9-e003Coalescence-mGAM-p3_S190,1.0,1.0
H9-e003Coalescence-mGAM-p5_S90,0.99545,0.8939
H9-e003Coalescence-mGAM-p7_S186,0.932475,0.867275
