,0
C9-e003Coalescence-mGAM-p3,6.0
C9-e003Coalescence-mGAM-p7,4.0
C8-e003Coalescence-mGAM-p7,14.0
e004-inoculumn-fecal-BD,7.0
B9-e003Coalescence-mGAM-p5,11.0
B8-e003Assembly-mGAM-p5,4.0
e004-inoculumn-fecal-AK,5.0
C8-e003Assembly-mGAM-p3,4.0
D4-e004Assembly-mGAM-p5,9.0
D11-e003Coalescence-mGAM-p5,6.0
A11-e003Coalescence-mGAM-p7,8.0
B10-e003Assembly-mGAM-p5,4.0
C2-e003Coalescence-mGAM-p7,64.0
B11-e003Coalescence-mGAM-p3,9.0
D5-e003Coalescence-mGAM-p5,8.0
A5-e003Coalescence-mGAM-p3,7.0
A2-e003Coalescence-Inoculumn-mGAM,31.0
D8-e003Coalescence-mGAM-p5,7.0
A12-e003Coalescence-mGAM-p3,4.0
D9-e003Coalescence-mGAM-p7,6.0
E4-e004Assembly-mGAM-p7,7.0
B10-e003Coalescence-mGAM-p3,5.0
A9-e003Coalescence-mGAM-p7,6.0
B5-e003Coalescence-Inoculumn-mGAM,15.0
D9-e003Coalescence-mGAM-p5,4.0
C9-e003Coalescence-mBHI-p3,4.0
D10-e003Coalescence-mGAM-p5,4.0
B11-e003Assembly-mGAM-p5,4.0
D4-e003Coalescence-mGAM-p5,30.0
B5-e003Coalescence-mGAM-p5,8.0
C2-e003Coalescence-mGAM-p3,9.0
B5-e003Coalescence-mGAM-p7,7.0
D5-e003Coalescence-Inoculumn-mGAM,25.0
C5-e003Coalescence-mGAM-p7,5.0
BF-Fecal,7.0
AM-Fecal,6.0
B8-e003Assembly-mGAM-p3,4.0
D5-e003Coalescence-mBHI-p5,30.0
e003-inoculumn-fecal-inoculumn,8.0
D4-e003Coalescence-mGAM-p7,6.0
E4-e004Assembly-mGAM-p3,4.0
e003-inoculumn-fecal-AC,5.0
B2-e003Coalescence-Inoculumn-mGAM,23.0
D5-e003Coalescence-mGAM-p7,4.0
C5-e003Coalescence-mGAM-p3,10.0
D9-e003Assembly-mGAM-p5,4.0
B12-e003Coalescence-mGAM-p3,3.0
A3-e003Coalescence-Inoculumn-mGAM,12.0
A10-e003Coalescence-mGAM-p3,55.0
B2-e003Coalescence-mGAM-p3,51.0
C11-e003Coalescence-mGAM-p5,4.0
D5-e004Assembly-mGAM-p7,3.0
A5-e003Coalescence-mBHI-p7,4.0
BG-Fecal,12.0
D2-e003Coalescence-mGAM-p5,28.0
D3-e003Coalescence-mGAM-p3,46.0
D9-e003Coalescence-mGAM-p3,5.0
D3-e003Coalescence-mGAM-p5,74.0
C10-e003Coalescence-mGAM-p3,5.0
B11-e003Assembly-mGAM-p3,4.0
C3-e003Coalescence-Inoculumn-mGAM,10.0
A3-e003Coalescence-mGAM-p7,5.0
D10-e003Coalescence-mGAM-p7,4.0
C11-e003Coalescence-mGAM-p3,5.0
