,0.975,0.975
B5-e004Assembly-mBHI-p3,1.0,1.0
B2-e003Coalescence-mBHI-p3,1.0,0.0
A8-e003Coalescence-mBHI-p3,1.0,0.0
A4-e003Coalescence-mBHI-p7,1.0,0.0
C2-e003Coalescence-mBHI-p5,1.0,0.0
B3-e004Assembly-mBHI-p7,1.0,1.0
B5-e004Assembly-mBHI-p7,1.0,1.0
C4-e003GlycerolRevival-mBHI-p2,1.0,1.0
G5-e004Assembly-epsilon-p3,1.0,1.0
C5-e004Assembly-mBHI-p3,1.0,1.0
C3-e004Assembly-mBHI-p5,1.0,1.0
B2-e003Coalescence-mBHI-p5,1.0,0.0
C8-e003Assembly-mGAM-p3,1.0,0.0
D3-e003Coalescence-Inoculumn-mBHI,0.0,1.0
B8-e003Coalescence-mBHI-p5,1.0,0.0
C2-e003Coalescence-mGAM-p7,1.0,0.0
D3-e003Coalescence-mBHI-p5,0.0,1.0
D2-e003Coalescence-mBHI-p5,1.0,0.0
A2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
E5-e004Assembly-mGAM-p5,1.0,1.0
C2-e003Coalescence-mBHI-p3,1.0,0.0
D8-e003Assembly-mGAM-p3,1.0,0.0
A9-e003Coalescence-mGAM-p7,1.0,0.0
C8-e003Coalescence-mBHI-p7,1.0,0.0
G3-e004Assembly-epsilon-p7,1.0,1.0
D4-e003Coalescence-mGAM-p5,0.0,1.0
C3-e004Assembly-mBHI-p7,1.0,1.0
C2-e003Coalescence-mGAM-p3,1.0,0.0
F5-e004Assembly-epsilon-p5,1.0,1.0
E5-e004Assembly-mGAM-p7,1.0,1.0
B3-e004Assembly-mBHI-p5,1.0,1.0
A2-e003Coalescence-mBHI-p7,1.0,0.0
A10-e003Coalescence-mBHI-p5,1.0,0.0
B8-e003Assembly-mGAM-p3,1.0,0.0
A4-e003Coalescence-mGAM-p5,0.0,1.0
D5-e003Coalescence-mBHI-p5,1.0,0.0
D4-e003Coalescence-mGAM-p7,0.0,1.0
A8-e003Coalescence-mBHI-p7,1.0,0.0
B2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
C5-e003Coalescence-mBHI-p5,0.0,1.0
C5-e003Coalescence-mGAM-p3,0.0,1.0
A3-e003Coalescence-Inoculumn-mGAM,1.0,0.0
A2-e003Coalescence-Inoculumn-mBHI,1.0,0.0
A9-e003Coalescence-mBHI-p5,1.0,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.0,1.0
B2-e003Coalescence-mGAM-p3,1.0,0.0
A8-e003Coalescence-mBHI-p5,1.0,0.0
D5-e004Assembly-mGAM-p7,1.0,1.0
A5-e003Coalescence-mBHI-p7,1.0,0.156
D2-e003Coalescence-mGAM-p5,1.0,0.0
D3-e003Coalescence-mGAM-p5,0.32392499999999885,1.0
A5-e003Coalescence-mBHI-inoculumn-redo,1.0,0.571
A3-e003Coalescence-mGAM-p7,1.0,0.0
A4-e003Coalescence-mBHI-p5,1.0,0.0
C2-e004Assembly-mBHI-p7,1.0,1.0
A10-e003Coalescence-mBHI-p7,1.0,0.0
F5-e004Assembly-epsilon-p3,1.0,1.0
A9-e003Coalescence-mBHI-p7,1.0,0.0
D5-e003Coalescence-mGAM-p3,0.0,1.0
E5-e004Assembly-mGAM-p3,1.0,1.0
D2-e003Coalescence-Inoculumn-mBHI,1.0,0.571
B2-e003Assembly-mBHI-p3,1.0,0.0
A2-e003Coalescence-mGAM-p5,1.0,0.0
C5-e004Assembly-mBHI-p7,1.0,1.0
C5-e003Coalescence-mBHI-p7,0.0,1.0
A2-e003Coalescence-mBHI-p3,1.0,0.0
B8-e003Coalescence-mGAM-p5,1.0,0.0
C3-e004Assembly-mBHI-p3,1.0,1.0
C2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
A5-e003Coalescence-Inoculumn-mGAM,1.0,0.0
A3-e003Coalescence-mBHI-p3,1.0,0.0
AG-Fecal,1.0,1.0
A2-e003Coalescence-mBHI-p5,1.0,0.0
B5-e004Assembly-mBHI-p5,1.0,1.0
A4-e003Coalescence-mBHI-p3,1.0,0.0
A2-e003Coalescence-mBHI-inoculumn-redo,1.0,0.0
C2-e003Coalescence-mGAM-p5,1.0,0.0
B8-e003GlycerolRevival-mGAM-p2,1.0,0.0
C8-e003Coalescence-mBHI-p5,1.0,0.0
B8-e003Coalescence-mGAM-p7,1.0,0.0
D2-e003Coalescence-Inoculumn-mGAM,1.0,0.0
B3-e004Assembly-mBHI-p3,1.0,1.0
B2-e004Assembly-mBHI-p3,1.0,1.0
A11-e003Coalescence-mBHI-p3,1.0,0.0
B2-e004Assembly-mBHI-p5,1.0,1.0
A4-e003Coalescence-Inoculumn-mGAM,1.0,0.0
A9-e003Coalescence-mGAM-p5,1.0,0.0
F3-e004Assembly-epsilon-p7,1.0,1.0
E2-e003Coalescence-mGAM-p7_S145,1.0,0.0
G5-e003Coalescence-mBHI-p7_S124,0.0,1.0
H4-e003Coalescence-mGAM-p7_S183,0.0,1.0
F5-e003Coalescence-mGAM-p5_S64,0.0,1.0
F5-e003Coalescence-mGAM-p7_S160,0.0,1.0
